SEQUENCE_NUM,RESPONSE_DATE,REFRIGERATOR_COST,INCOME,MORTGAGE,REASON,JOB,YEARS_AT_HOME,WASHER_PURCHASES,DRYER_PURCHASES,OLDEST_INQUIRY,OVEN_PURCHASES,OTHER_PURCHASES,ONLINE_CONV_RATIO,ACTION
176050,2005-01-23,25400,62906.0,96327.0,RESIDEN,Other,17.0,0.0,0.0,111.0,1.0,16.0,33.76074836,Offer New Refrigerator
472210,2016-04-02,11000,21738.0,86586.0,COMMERC,ProfEx,20.0,0.0,0.0,241.0,0.0,10.0,25.21859995,Offer New Refrigerator
828993,2007-03-09,15500,116543.0,133986.0,RESIDEN,0,17.0,0.0,0.0,165.0,1.0,18.0,37.57081963,Offer New Refrigerator
482538,2018-06-29,34800,121399.0,164000.0,RESIDEN,Office,11.0,0.0,1.0,208.0,2.0,34.0,0.0,Offer New Refrigerator
486965,2016-04-08,11000,60123.0,74887.0,COMMERC,Other,3.0,0.0,1.0,242.0,2.0,16.0,37.68016976,Offer New Refrigerator
607138,2005-12-16,7200,98691.0,115750.0,COMMERC,Office,22.0,0.0,0.0,118.0,0.0,11.0,37.72035861,Offer New Refrigerator
971298,2007-11-17,21000,67657.0,100606.0,COMMERC,Other,5.0,0.0,0.0,225.0,1.0,12.0,31.04430422,Offer New Refrigerator
664747,2005-05-09,30800,21172.0,37333.0,RESIDEN,Other,30.0,0.0,0.0,208.0,0.0,15.0,41.35817107,Offer New Refrigerator
394882,2018-11-24,6000,16878.0,25850.0,0,Mgr,1.0,0.0,1.0,219.0,5.0,34.0,0.0,Offer New Refrigerator
344598,2009-02-22,6400,53476.0,70157.0,RESIDEN,ProfEx,7.0,0.0,3.0,164.0,1.0,30.0,21.13798157,Offer New Refrigerator
191743,2008-03-20,24400,147073.0,182069.0,RESIDEN,Other,2.0,0.0,0.0,174.0,0.0,35.0,37.81236793,Offer New Refrigerator
376673,2010-03-07,13900,41641.0,53200.0,RESIDEN,Other,0.0,0.0,0.0,83.0,0.0,15.0,42.40363421,Offer New Refrigerator
124484,2020-08-02,18000,12900.0,21500.0,COMMERC,Office,5.0,3.0,0.0,110.0,0.0,33.0,0.0,Offer New Refrigerator
678433,2009-06-22,9300,81986.0,94513.0,RESIDEN,Other,2.0,3.0,0.0,0.0,0.0,4.0,31.89390379,Offer New Refrigerator
891634,2016-10-19,14700,30306.0,44195.0,COMMERC,Other,9.0,0.0,1.0,87.0,2.0,12.0,29.40493516,Offer New Refrigerator
624931,2018-12-24,6900,50387.0,68443.0,RESIDEN,Mgr,7.0,0.0,3.0,106.0,2.0,10.0,40.71766885,Offer New Refrigerator
293361,2017-10-02,21800,0.0,60392.0,RESIDEN,Other,0.0,0.0,1.0,301.0,0.0,18.0,39.41913658,Offer New Refrigerator
753109,2018-01-09,24600,135278.0,164559.0,RESIDEN,Other,5.0,1.0,0.0,225.0,0.0,20.0,34.07915769,Offer New Refrigerator
498581,2014-08-22,23200,96043.0,140090.0,RESIDEN,ProfEx,21.0,0.0,0.0,163.0,0.0,24.0,39.20510043,Offer New Refrigerator
670279,2013-09-01,15300,57840.0,86903.0,RESIDEN,Other,0.0,0.0,0.0,111.0,4.0,11.0,38.82617752,Offer New Refrigerator
532528,2014-04-25,20200,33000.0,62400.0,COMMERC,Other,1.0,0.0,0.0,124.0,2.0,2.0,0.0,Offer New Refrigerator
70541,2020-07-01,17300,110614.0,137552.0,RESIDEN,ProfEx,6.0,0.0,0.0,85.0,0.0,13.0,31.34436552,Offer New Refrigerator
433625,2019-10-03,12500,55000.0,75393.0,RESIDEN,Other,0.75,0.0,1.0,113.0,1.0,16.0,0.0,Offer New Refrigerator
197660,2005-04-08,28200,66242.0,109762.0,RESIDEN,Other,8.0,0.0,1.0,131.0,0.0,21.0,60.29541349,Offer New Refrigerator
599269,2011-05-24,23400,90924.0,116819.0,RESIDEN,Other,24.0,0.0,0.0,246.0,1.0,27.0,40.85742704,Offer New Refrigerator
534803,2007-01-30,15000,23473.0,74000.0,COMMERC,Other,0.0,0.0,0.0,245.0,1.0,50.0,0.0,Offer New Refrigerator
767441,2014-04-02,19900,132878.0,199172.0,COMMERC,ProfEx,14.0,0.0,0.0,198.0,0.0,22.0,35.33060397,Offer New Refrigerator
426433,2019-02-27,8500,0.0,42980.0,COMMERC,Other,0.0,0.0,1.0,76.0,0.0,9.0,37.6596682,Offer New Refrigerator
12092,2007-02-18,15200,41049.0,50892.0,RESIDEN,ProfEx,1.0,0.0,0.0,276.0,1.0,34.0,38.37983372,Offer New Refrigerator
911631,2019-05-20,10000,66399.0,78000.0,0,ProfEx,0.9,0.0,0.0,113.0,0.0,15.0,0.0,Offer New Refrigerator
436784,2011-12-14,33700,83471.0,133221.0,RESIDEN,Mgr,29.0,0.0,0.0,335.0,0.0,19.0,39.09556626,Offer New Refrigerator
641122,2016-05-27,12000,98000.0,123385.0,COMMERC,ProfEx,10.0,0.0,0.0,170.0,3.0,32.0,0.0,Offer New Refrigerator
92586,2016-02-02,10000,0.0,0.0,COMMERC,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
828090,2009-07-07,9700,98232.0,117321.0,RESIDEN,Other,19.0,0.0,2.0,194.0,2.0,15.0,36.95089224,Offer New Refrigerator
849184,2007-08-11,18600,64248.0,82690.0,RESIDEN,Mgr,0.0,1.0,0.0,89.0,0.0,23.0,53.84821989,Offer New Refrigerator
653007,2019-10-26,12900,87270.0,97929.0,COMMERC,ProfEx,0.0,0.0,0.0,65.0,1.0,20.0,34.69636554,Offer New Refrigerator
219901,2013-10-05,15900,102564.0,120724.0,RESIDEN,ProfEx,0.0,0.0,0.0,126.0,0.0,30.0,37.99377578,Offer New Refrigerator
364813,2014-10-19,25000,98500.0,130000.0,RESIDEN,Other,5.0,0.0,1.0,202.0,4.0,43.0,0.0,Offer New Refrigerator
465140,2006-10-24,13100,61853.0,73480.0,0,Other,13.0,0.0,0.0,259.0,0.0,26.0,28.73085117,Offer New Refrigerator
135390,2016-11-23,15000,84832.0,107207.0,COMMERC,Other,19.0,0.0,0.0,124.0,4.0,23.0,28.55818348,Offer New Refrigerator
720310,2006-12-27,14400,100487.0,118911.0,RESIDEN,Other,11.0,0.0,0.0,179.0,0.0,27.0,35.85286371,Offer New Refrigerator
484511,2015-09-01,6300,79667.0,96988.0,RESIDEN,ProfEx,1.0,0.0,0.0,0.0,0.0,0.0,29.83596072,Offer New Refrigerator
25420,2018-12-22,6900,75880.0,113612.0,RESIDEN,Office,1.0,0.0,0.0,231.0,1.0,38.0,17.96588344,Offer New Refrigerator
794152,2016-09-24,14000,85200.0,0.0,COMMERC,Other,8.0,1.0,0.0,189.0,4.0,17.0,0.0,Offer New Refrigerator
486624,2013-12-29,17500,133243.0,154513.0,RESIDEN,Mgr,0.0,0.0,0.0,217.0,0.0,18.0,37.46299196,Offer New Refrigerator
825863,2006-03-15,9300,75425.0,109040.0,RESIDEN,Office,2.0,0.0,0.0,236.0,0.0,38.0,17.87525906,Offer New Refrigerator
849375,2018-08-04,42000,102000.0,165000.0,RESIDEN,Office,12.0,1.0,1.0,237.0,0.0,19.0,0.0,Offer New Refrigerator
926052,2017-01-10,15900,69548.0,89775.0,RESIDEN,Other,1.0,0.0,0.0,231.0,2.0,25.0,30.10831743,Offer New Refrigerator
18640,2005-10-01,4900,65576.0,65774.0,COMMERC,Other,6.0,1.0,2.0,62.0,1.0,14.0,40.59091002,Offer New Refrigerator
231512,2010-11-09,18500,65165.0,90805.0,RESIDEN,Office,2.0,0.0,0.0,161.0,0.0,25.0,25.37204765,Offer New Refrigerator
715116,2006-11-22,13700,70018.0,89803.0,COMMERC,Office,24.0,0.0,0.0,155.0,1.0,13.0,39.38990883,Offer New Refrigerator
820720,2013-03-04,12100,67000.0,79100.0,RESIDEN,Mgr,5.0,0.0,0.0,155.0,1.0,32.0,0.0,Offer New Refrigerator
28364,2019-08-19,11800,67336.0,82218.0,RESIDEN,Office,12.0,0.0,0.0,255.0,3.0,36.0,40.87842824,Offer New Refrigerator
364831,2017-02-22,16700,11059.0,92706.0,COMMERC,Other,13.0,0.0,1.0,263.0,0.0,23.0,29.88475774,Offer New Refrigerator
100729,2015-07-13,4500,90000.0,105800.0,COMMERC,Other,6.0,2.0,3.0,80.0,3.0,10.0,0.0,Offer New Refrigerator
444941,2015-06-28,3000,47000.0,56400.0,COMMERC,Office,21.0,0.0,0.0,202.0,0.0,20.0,0.0,Offer New Refrigerator
302965,2016-08-24,13500,59352.0,87767.0,COMMERC,Other,0.0,0.0,0.0,301.0,0.0,19.0,28.1182969,Offer New Refrigerator
418344,2016-09-22,14000,0.0,42500.0,RESIDEN,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
228974,2012-02-29,59500,47485.0,69981.0,RESIDEN,Other,4.0,0.0,0.0,100.0,0.0,20.0,29.47367331,Offer New Refrigerator
32170,2010-06-16,15600,74156.0,101136.0,RESIDEN,Mgr,11.0,0.0,3.0,107.0,0.0,24.0,27.69600093,Offer New Refrigerator
289819,2009-05-06,8300,0.0,47244.0,COMMERC,Other,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
821693,2016-08-12,13300,58000.0,75000.0,RESIDEN,Mgr,6.6,0.0,1.0,226.0,1.0,33.0,0.0,Offer New Refrigerator
58210,2018-04-12,27600,72468.0,106906.0,RESIDEN,ProfEx,12.0,0.0,0.0,289.0,1.0,32.0,38.98401301,Offer New Refrigerator
139846,2019-01-26,7900,67222.0,75189.0,COMMERC,Other,4.0,0.0,0.0,96.0,0.0,23.0,36.97971203,Offer New Refrigerator
55091,2016-06-15,12300,89333.0,106107.0,COMMERC,Other,19.0,0.0,0.0,120.0,3.0,24.0,28.77470213,Offer New Refrigerator
540399,2021-03-25,23900,85097.0,100730.0,COMMERC,0,9.0,0.0,0.0,0.0,0.0,0.0,29.50851727,Offer New Refrigerator
295581,2019-03-05,8600,21000.0,79000.0,COMMERC,ProfEx,21.0,0.0,0.0,239.0,0.0,11.0,0.0,Offer New Refrigerator
295041,2009-04-22,8000,21944.0,31352.0,RESIDEN,Other,0.0,1.0,1.0,33.0,9.0,3.0,0.0,Offer New Refrigerator
793375,2011-02-05,20600,185050.0,234004.0,RESIDEN,ProfEx,3.0,0.0,0.0,314.0,0.0,27.0,40.04911263,Offer New Refrigerator
538011,2011-06-10,23900,0.0,105700.0,RESIDEN,Other,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
671484,2006-08-24,12100,12000.0,33938.0,RESIDEN,Mgr,9.0,0.0,0.0,119.0,0.0,11.0,0.0,Offer New Refrigerator
43220,2017-01-12,15900,58518.0,82095.0,COMMERC,ProfEx,10.0,0.0,2.0,177.0,0.0,14.0,28.81879312,Offer New Refrigerator
502520,2017-08-19,20800,155315.0,192038.0,RESIDEN,ProfEx,11.0,0.0,0.0,114.0,0.0,23.0,29.89157194,Offer New Refrigerator
14021,2010-10-04,17700,60260.0,90196.0,COMMERC,ProfEx,11.0,0.0,1.0,178.0,0.0,14.0,29.60717111,Offer New Refrigerator
134185,2009-05-26,8700,77377.0,97070.0,RESIDEN,Mgr,3.0,0.0,0.0,69.0,2.0,24.0,38.21772578,Offer New Refrigerator
528480,2005-02-20,26400,153853.0,188760.0,COMMERC,Self,2.0,0.0,0.0,173.0,0.0,17.0,43.35819405,Offer New Refrigerator
477299,2021-03-21,23800,19612.0,77300.0,RESIDEN,ProfEx,15.0,0.0,6.0,173.0,0.0,19.0,0.0,Offer New Refrigerator
484594,2015-09-16,6800,56155.0,57912.0,COMMERC,Office,21.0,0.0,0.0,206.0,0.0,20.0,21.79851308,Offer New Refrigerator
584201,2010-08-25,17000,73644.0,107086.0,RESIDEN,ProfEx,0.0,0.0,0.0,280.0,2.0,20.0,37.77195785,Offer New Refrigerator
314508,2007-11-16,21000,87000.0,140000.0,RESIDEN,ProfEx,22.0,1.0,0.0,163.0,1.0,25.0,0.0,Offer New Refrigerator
847933,2020-11-14,20500,89269.0,132500.0,RESIDEN,ProfEx,0.0,0.0,0.0,204.0,0.0,21.0,0.0,Offer New Refrigerator
580387,2005-04-26,29800,134560.0,187551.0,RESIDEN,ProfEx,1.0,0.0,0.0,225.0,1.0,19.0,39.21193749,Offer New Refrigerator
680657,2014-08-05,22700,0.0,57156.0,RESIDEN,Other,0.0,0.0,0.0,290.0,0.0,19.0,40.16294454,Offer New Refrigerator
520989,2011-04-24,22600,59050.0,99152.0,RESIDEN,ProfEx,0.0,0.0,0.0,195.0,0.0,26.0,33.40421221,Offer New Refrigerator
106317,2017-06-03,18800,66562.0,90325.0,RESIDEN,Other,0.0,1.0,1.0,113.0,2.0,25.0,33.16227148,Offer New Refrigerator
667069,2013-12-31,17500,46636.0,72908.0,RESIDEN,Other,7.0,0.0,0.0,110.0,3.0,15.0,41.51229209,Offer New Refrigerator
843732,2013-05-15,13400,88810.0,102409.0,COMMERC,Other,19.0,0.0,0.0,146.0,4.0,24.0,31.33641826,Offer New Refrigerator
790148,2019-11-08,13000,0.0,25552.0,COMMERC,0,28.0,0.0,0.0,198.0,0.0,5.0,25.50782049,Offer New Refrigerator
190427,2006-08-05,11900,26601.0,52544.0,COMMERC,Other,0.0,0.0,0.0,241.0,0.0,11.0,40.77567715,Offer New Refrigerator
144607,2008-04-28,25400,82553.0,107422.0,RESIDEN,Mgr,9.0,1.0,0.0,306.0,2.0,29.0,32.72167844,Offer New Refrigerator
590139,2010-09-09,17200,94937.0,133859.0,RESIDEN,Mgr,6.0,0.0,0.0,248.0,2.0,42.0,36.79087533,Offer New Refrigerator
261058,2015-09-07,6500,48000.0,61000.0,RESIDEN,Other,1.0,1.0,0.0,97.0,6.0,38.0,0.0,Offer New Refrigerator
316767,2007-07-04,17800,56956.0,74305.0,RESIDEN,Office,0.0,0.0,0.0,187.0,0.0,24.0,31.81747192,Offer New Refrigerator
183505,2005-04-20,28900,0.0,117991.0,RESIDEN,Mgr,7.0,0.0,0.0,160.0,0.0,27.0,32.16500253,Offer New Refrigerator
321364,2005-07-06,40000,331000.0,415000.0,RESIDEN,ProfEx,22.0,0.0,0.0,242.0,8.0,34.0,0.0,Offer New Refrigerator
630460,2009-06-01,8800,56963.0,70607.0,COMMERC,Other,4.0,0.0,0.0,100.0,3.0,19.0,40.34526073,Offer New Refrigerator
899825,2005-03-02,26800,96895.0,144482.0,RESIDEN,Mgr,23.0,0.0,0.0,202.0,0.0,13.0,40.16216065,Offer New Refrigerator
180172,2017-11-25,23200,62811.0,99320.0,RESIDEN,Office,3.0,0.0,0.0,167.0,1.0,21.0,36.07127157,Offer New Refrigerator
279656,2006-04-27,10000,59929.0,0.0,RESIDEN,Other,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
276895,2007-01-25,15000,18500.0,19000.0,RESIDEN,Other,2.0,0.0,1.0,20.0,0.0,2.0,0.0,Offer New Refrigerator
177430,2014-06-09,21400,134041.0,163103.0,RESIDEN,ProfEx,6.0,1.0,0.0,172.0,0.0,38.0,19.63706875,Offer New Refrigerator
746942,2005-10-23,5500,78059.0,78179.0,RESIDEN,0,5.0,0.0,0.0,0.0,0.0,0.0,20.67931358,Offer New Refrigerator
761853,2017-12-05,23500,90129.0,141785.0,RESIDEN,ProfEx,23.0,1.0,0.0,159.0,0.0,25.0,40.33195033,Offer New Refrigerator
425424,2016-03-01,10300,56127.0,72294.0,COMMERC,Other,28.0,1.0,3.0,184.0,0.0,24.0,34.63423561,Offer New Refrigerator
981133,2015-02-11,30000,32657.0,76000.0,RESIDEN,Other,0.0,0.0,0.0,288.0,0.0,16.0,0.0,Offer New Refrigerator
799337,2016-02-14,10000,48769.0,65328.0,RESIDEN,Office,4.0,0.0,1.0,105.0,3.0,12.0,39.04935922,Offer New Refrigerator
239393,2007-06-24,17500,23288.0,94904.0,RESIDEN,ProfEx,8.0,0.0,0.0,145.0,0.0,20.0,29.67538222,Offer New Refrigerator
563199,2018-08-21,48900,41260.0,102771.0,COMMERC,Self,8.0,0.0,0.0,192.0,3.0,35.0,41.21871452,Offer New Refrigerator
691227,2009-09-23,11000,57554.0,68222.0,RESIDEN,ProfEx,14.0,0.0,0.0,215.0,3.0,32.0,36.5693479,Offer New Refrigerator
104349,2009-12-06,12300,152107.0,179793.0,RESIDEN,ProfEx,7.0,0.0,1.0,213.0,3.0,25.0,43.13409505,Offer New Refrigerator
386847,2006-06-18,11000,52602.0,61496.0,RESIDEN,Other,13.0,0.0,0.0,107.0,0.0,22.0,37.69910859,Offer New Refrigerator
453482,2019-11-30,13500,109258.0,126101.0,RESIDEN,0,2.0,0.0,0.0,131.0,1.0,25.0,33.53988748,Offer New Refrigerator
612821,2019-07-24,11200,56842.0,66710.0,COMMERC,Other,6.0,0.0,0.0,145.0,0.0,17.0,33.8858765,Offer New Refrigerator
247699,2017-12-16,23800,46884.0,68142.0,RESIDEN,Other,8.0,0.0,0.0,59.0,1.0,18.0,35.69663622,Offer New Refrigerator
90590,2018-06-05,31700,55247.0,103246.0,RESIDEN,Office,3.0,0.0,0.0,177.0,1.0,25.0,35.30277411,Offer New Refrigerator
651333,2005-09-21,4000,66000.0,79050.0,COMMERC,Other,1.8,2.0,0.0,279.0,1.0,6.0,0.0,Offer New Refrigerator
214405,2013-10-28,16300,105169.0,134992.0,RESIDEN,Other,1.0,0.0,0.0,278.0,0.0,46.0,41.9498545,Offer New Refrigerator
836500,2014-06-26,21700,188525.0,234269.0,RESIDEN,ProfEx,0.0,0.0,0.0,302.0,0.0,26.0,37.33952006,Offer New Refrigerator
693143,2017-08-14,20600,52946.0,83558.0,RESIDEN,Other,0.0,0.0,0.0,66.0,0.0,10.0,65.14359345,Offer New Refrigerator
357038,2006-03-26,9500,28750.0,42408.0,COMMERC,Office,0.0,0.0,0.0,116.0,1.0,30.0,39.05039479,Offer New Refrigerator
519130,2020-11-02,20200,51588.0,121752.0,RESIDEN,ProfEx,14.0,0.0,0.0,253.0,0.0,20.0,26.43068063,Offer New Refrigerator
240129,2009-06-29,9500,50400.0,63000.0,RESIDEN,Other,1.0,0.0,0.0,91.0,8.0,22.0,0.0,Offer New Refrigerator
576937,2018-06-04,31500,10879.0,58089.0,RESIDEN,Other,0.0,0.0,0.0,94.0,0.0,5.0,38.66240227,Offer New Refrigerator
515636,2017-02-18,16600,74784.0,100221.0,RESIDEN,Mgr,1.0,0.0,0.0,90.0,0.0,17.0,25.7083938,Offer New Refrigerator
153988,2019-02-23,8400,77144.0,91532.0,RESIDEN,Mgr,19.0,0.0,1.0,312.0,1.0,24.0,40.91273699,Offer New Refrigerator
36785,2018-12-11,6500,33639.0,37345.0,COMMERC,ProfEx,11.0,0.0,0.0,191.0,0.0,13.0,24.22731934,Offer New Refrigerator
710737,2009-10-16,11400,59813.0,72873.0,RESIDEN,ProfEx,13.0,0.0,0.0,234.0,4.0,31.0,39.35147085,Offer New Refrigerator
252370,2019-02-01,8000,33689.3,48000.0,RESIDEN,Other,3.0,0.0,0.0,104.0,0.0,13.0,0.0,Offer New Refrigerator
960064,2014-03-20,19400,63508.0,12414.0,RESIDEN,Other,5.0,0.0,0.0,64.0,1.0,16.0,40.57016916,Offer New Refrigerator
693614,2017-06-01,18700,39821.0,60672.0,COMMERC,Other,26.0,0.0,0.0,244.0,0.0,14.0,23.35928056,Offer New Refrigerator
699067,2012-10-14,9700,0.0,54385.0,COMMERC,Other,10.0,0.0,0.0,315.0,1.0,13.0,34.17040354,Offer New Refrigerator
389275,2005-03-04,26800,18459.0,53907.0,RESIDEN,Other,0.0,0.0,0.0,200.0,0.0,6.0,71.51211057,Offer New Refrigerator
388561,2015-11-16,8300,67839.0,76502.0,RESIDEN,ProfEx,9.0,0.0,0.0,59.0,3.0,24.0,38.97429353,Offer New Refrigerator
620907,2017-10-09,22000,0.0,72304.0,COMMERC,Office,9.0,0.0,0.0,121.0,2.0,4.0,20.17621345,Offer New Refrigerator
977519,2014-10-09,24800,132000.0,165000.0,RESIDEN,Mgr,19.0,0.0,0.0,188.0,4.0,35.0,0.0,Offer New Refrigerator
650808,2013-02-20,12000,87000.0,101200.0,RESIDEN,Sales,13.0,0.0,2.0,151.0,1.0,18.0,0.0,Offer New Refrigerator
294250,2016-02-23,10200,71111.0,80385.0,RESIDEN,Office,4.0,1.0,2.0,170.0,2.0,29.0,38.62337208,Offer New Refrigerator
965924,2011-05-30,23600,70769.0,183593.0,0,Other,11.0,0.0,0.0,367.0,1.0,17.0,33.78919233,Offer New Refrigerator
296413,2015-04-30,42000,65889.0,125000.0,COMMERC,Other,10.0,0.0,0.0,103.0,1.0,13.0,0.0,Offer New Refrigerator
530123,2008-06-13,27000,60631.0,86091.0,RESIDEN,Other,24.0,0.0,2.0,200.0,1.0,20.0,26.24875663,Offer New Refrigerator
773094,2014-03-24,19500,47000.0,70000.0,RESIDEN,Mgr,15.0,0.0,0.0,220.0,5.0,21.0,0.0,Offer New Refrigerator
126131,2018-06-13,32500,124548.0,169881.0,RESIDEN,ProfEx,16.0,0.0,0.0,130.0,1.0,17.0,28.85081359,Offer New Refrigerator
950929,2011-07-01,24600,71862.0,94704.0,RESIDEN,Other,1.0,0.0,0.0,93.0,2.0,29.0,35.2905832,Offer New Refrigerator
240532,2008-08-26,32200,108871.0,151667.0,RESIDEN,Other,11.0,0.0,0.0,227.0,0.0,40.0,40.18309857,Offer New Refrigerator
878623,2012-11-13,10100,68820.0,78830.0,RESIDEN,Other,2.0,0.0,0.0,171.0,0.0,34.0,29.20675283,Offer New Refrigerator
492309,2011-12-30,36800,35447.0,59890.0,RESIDEN,Other,0.0,0.0,0.0,0.0,7.0,0.0,31.17384352,Offer New Refrigerator
284458,2012-10-01,9400,71600.0,99682.0,RESIDEN,Other,16.0,0.0,0.0,159.0,4.0,16.0,25.60722823,Offer New Refrigerator
383486,2011-04-25,22600,63363.0,90816.0,RESIDEN,Office,3.0,0.0,0.0,174.0,0.0,15.0,38.74248161,Offer New Refrigerator
230920,2012-01-27,42600,22446.0,66485.0,RESIDEN,Other,17.0,0.0,0.0,204.0,0.0,30.0,41.15627594,Offer New Refrigerator
341561,2007-09-29,20000,125000.0,162975.0,RESIDEN,ProfEx,7.0,0.0,0.0,179.0,0.0,38.0,0.0,Offer New Refrigerator
878934,2017-10-22,22300,0.0,22399.0,RESIDEN,ProfEx,5.0,0.0,0.0,97.0,1.0,18.0,22.19662471,Offer New Refrigerator
850821,2011-03-31,22000,71664.0,98015.0,RESIDEN,Mgr,9.0,0.0,0.0,191.0,1.0,19.0,34.92102106,Offer New Refrigerator
496002,2014-10-28,25100,28244.0,48375.0,RESIDEN,Other,28.0,0.0,0.0,303.0,0.0,13.0,31.68881825,Offer New Refrigerator
682339,2012-04-27,5300,75958.0,91703.0,RESIDEN,Other,0.0,0.0,0.0,124.0,1.0,10.0,34.59906019,Offer New Refrigerator
670004,2013-07-17,14700,94672.0,0.0,0,Other,14.0,0.0,1.0,67.0,0.0,11.0,40.31743443,Offer New Refrigerator
927287,2015-02-13,30000,20000.0,38000.0,RESIDEN,Other,0.9,0.0,0.0,60.0,0.0,7.0,0.0,Offer New Refrigerator
102120,2011-03-22,21700,72180.0,93427.0,RESIDEN,Other,2.0,0.0,0.0,116.0,1.0,29.0,33.45667038,Offer New Refrigerator
466103,2006-07-15,11500,56720.0,82738.0,COMMERC,Other,17.0,0.0,0.0,200.0,0.0,16.0,34.01983769,Offer New Refrigerator
919738,2020-01-09,14300,21828.0,38000.0,RESIDEN,Mgr,17.0,1.0,0.0,104.0,1.0,17.0,0.0,Offer New Refrigerator
698202,2019-09-29,12400,34055.0,40739.0,RESIDEN,Other,9.0,0.0,0.0,147.0,6.0,29.0,39.93094736,Offer New Refrigerator
725499,2016-03-18,10700,56197.0,79272.0,COMMERC,Other,18.0,0.0,0.0,219.0,1.0,16.0,34.0153596,Offer New Refrigerator
901396,2009-06-27,9400,86539.0,95010.0,RESIDEN,Other,0.0,4.0,0.0,0.0,0.0,3.0,29.81532359,Offer New Refrigerator
511808,2018-12-10,6500,47949.0,53102.0,COMMERC,Office,9.0,0.0,0.0,181.0,0.0,19.0,27.83900666,Offer New Refrigerator
335058,2014-09-11,23800,9124.0,41900.0,RESIDEN,Other,28.0,0.0,2.0,121.0,1.0,16.0,0.0,Offer New Refrigerator
176010,2013-02-24,12000,0.0,0.0,COMMERC,Other,19.0,0.0,8.0,196.0,0.0,13.0,0.0,Offer New Refrigerator
30112,2009-03-18,7000,0.0,96783.0,COMMERC,Other,20.0,0.0,0.0,0.0,0.0,0.0,40.73031534,Offer New Refrigerator
