MACHINE_ID,REPAIR_DATE,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,ACTION
1860584,2021-02-10,0.46646224,-0.54151927,-1.6538232,-2.2579867,-2.3800189,-2.4478617,-2.3924009,-2.2903023,-1.9527279,-1.3893216,Test HVAC
6998500,2009-07-29,-1.3906369,-2.2332599,-2.6112264,-2.8762145,-2.4880894,-2.3392737,-1.9595399,-1.4354132,-0.82088316,-0.5801567,Review Capacity
2564083,2018-02-08,0.062904804,-0.36676875,-0.60039944,-1.1447598,-1.3444717,-1.5533889,-1.7732319,-1.9232921,-2.0243018,-1.8781079,Check for Misalignment
2467723,2010-02-19,0.16257617,-1.8096106,-3.0593682,-4.2086964,-4.3313269,-3.9309828,-3.1260764,-1.9128947,-1.4099351,-1.1786077,Run at 25% Capacity
7409479,2021-10-19,-0.079110418,-0.61978481,-0.86855749,-1.2309387,-1.3840017,-1.729394,-1.9510597,-2.0406591,-1.882618,-1.464311,Test HVAC
9252695,2015-04-23,-0.52375393,-2.358285,-3.5072853,-3.9578438,-3.8858828,-3.5627566,-2.8522886,-1.8376238,-1.2715695,-0.96407159,Check Belts
3452489,2021-06-07,1.5018598,1.2698229,0.72708467,-0.089880887,-0.67376345,-1.1901284,-1.7322267,-1.8871222,-1.6365904,-1.143567,Test HVAC
8437384,2014-09-10,-1.2969256,-3.6750707,-4.3130105,-4.3210442,-3.8732748,-3.0925106,-1.9035695,-1.4912189,-1.1483994,-0.56972418,Check Bearings
1835931,2018-06-24,-1.340034,-1.5964923,-1.860554,-2.3900635,-2.3305043,-2.5460253,-2.9391622,-3.1260345,-3.0029741,-2.7698502,Check for Misalignment
7866847,2018-08-11,0.99986367,-0.13581712,-1.303317,-2.337855,-2.7808363,-2.7141019,-2.4514852,-2.2660642,-1.808928,-1.2524652,Check for Misalignment
7665174,2012-07-16,-1.3478873,-2.8398041,-3.3710631,-3.856606,-3.7477918,-3.2556319,-2.1867645,-1.732328,-1.5196778,-0.89229525,Run at 75% Capacity
796656,2019-11-11,0.31738954,-0.31033403,-1.0250935,-1.5059771,-1.6329407,-1.4343237,-1.1409577,-0.73628514,-0.49063017,-0.42777344,Test Power Source
1053536,2011-06-21,-0.39953988,-1.9536969,-3.2226462,-4.0487186,-3.9101289,-3.012698,-1.914787,-1.6746889,-1.3273227,-0.61474273,Run at 50% Capacity
820000,2015-01-24,-0.12970004,-2.0197791,-2.7989773,-3.5471201,-4.0148124,-3.906467,-2.9660144,-1.5668142,-1.044988,-0.78032988,Check Bearings
8876847,2008-11-08,-1.9304468,-2.9061092,-3.6119187,-4.1983337,-3.9690436,-3.3751836,-2.3150623,-1.6512606,-1.5025363,-0.95680006,Turn Off Machine
9331253,2014-01-07,0.13304566,-2.8476783,-4.0743319,-4.3960145,-4.0672886,-3.0142197,-2.0244946,-1.6906185,-1.1141877,-0.23839319,Check Bearings
6018417,2013-03-30,-1.3694502,-3.5936747,-3.831767,-3.9642578,-3.6469953,-3.3137271,-2.2670315,-1.5589249,-1.4032113,-0.97631069,Run at 75% Capacity
3678360,2009-08-05,-1.3481323,-3.9960376,-4.2267496,-4.2511874,-3.4779528,-2.2284217,-1.8084877,-1.5342415,-0.77986138,-0.39799914,Run at 25% Capacity
6773725,2021-06-25,0.97699694,0.57083995,-0.49490189,-1.2747964,-1.9119677,-2.5958427,-2.8140241,-2.6052845,-2.160726,-1.8043334,Test HVAC
1615165,2014-03-01,-1.5106299,-3.8478934,-4.0496647,-4.0253548,-3.2053008,-2.2254665,-1.6280704,-1.4288092,-0.80929552,-0.38348283,Check Bearings
4224314,2013-06-03,0.99805495,-1.2837741,-3.3640588,-4.0238887,-4.1726502,-3.6873894,-2.5476402,-1.6953073,-1.4399879,-0.68017626,Run at 75% Capacity
8619231,2015-06-26,-0.57227102,-2.898924,-3.5996355,-4.0014846,-3.7847346,-3.3241984,-2.4134484,-1.7124104,-1.4169385,-1.0844359,Check Belts
5404634,2013-10-04,-0.95361914,-3.3805744,-4.1743705,-4.2772071,-3.5299598,-2.4526054,-1.7393632,-1.5318068,-0.62039985,-0.39916608,Check Bearings
1812870,2013-03-03,0.88033877,-1.6729426,-3.5021719,-3.3253789,-2.1920119,-0.52163711,0.011445412,0.42983785,1.3854759,1.533771,Run at 75% Capacity
2862306,2011-01-09,1.0185149,-0.72093443,-2.5874071,-3.8464874,-4.2658112,-3.4022247,-2.3988533,-1.8959543,-1.626462,-0.66592077,Run at 50% Capacity
1771706,2014-02-13,1.0661338,-1.5411173,-2.865847,-3.8965621,-4.4329465,-3.8470427,-2.3719621,-1.5093014,-1.4879623,-0.66176405,Check Bearings
2127245,2015-10-28,-2.3553959,-3.8531034,-3.8976367,-3.8762036,-3.6276101,-2.7781012,-1.8185613,-1.7689551,-1.3170029,-0.74990261,Check Belts
2785500,2009-07-01,-0.28728648,-1.1990888,-1.5639162,-2.0783144,-2.4560729,-2.5082108,-2.4650017,-2.445333,-2.3206561,-1.9951497,Review Capacity
9369824,2014-06-29,-1.1574166,-3.4642626,-4.8497798,-4.5590216,-3.2584055,-2.1801701,-1.5628888,-1.0445692,-0.53630857,-0.32943654,Check Bearings
6414260,2021-11-03,-0.81539493,-1.2888151,-1.4806684,-1.775086,-1.9829403,-2.1215737,-2.1759595,-2.0986021,-1.8727341,-1.4958221,Test HVAC
5463713,2015-03-30,0.38852007,-1.7439379,-3.6273369,-4.3320262,-4.2261757,-3.7127036,-2.6856194,-1.3781123,-1.2941862,-1.0446223,Check Belts
8518595,2016-05-10,-1.1663483,-2.7971792,-3.6301735,-4.2115316,-4.3041204,-3.9141189,-3.0388767,-1.7987587,-1.318478,-0.97220249,Check Belts
4797840,2011-03-26,-1.7759454,-4.0297533,-4.2346414,-4.1592533,-3.6277703,-2.4811667,-1.2906422,-1.1757926,-0.56839958,-0.15324656,Run at 50% Capacity
2498519,2018-05-12,-0.61192804,-1.1812515,-1.7100299,-2.211932,-2.4942071,-2.376142,-2.0688094,-1.6366067,-1.1872014,-0.98483327,Check for Misalignment
9473997,2013-03-25,-1.0797047,-3.2367358,-3.9694856,-4.2851703,-3.8895874,-3.3000662,-2.254895,-1.5293241,-1.3344441,-0.70916159,Run at 75% Capacity
711254,2010-08-16,-1.5110744,-2.9001971,-3.793122,-4.2947562,-4.0729188,-3.4124586,-1.8326259,-1.0339369,-0.98865419,-0.41454145,Run at 25% Capacity
1071047,2018-03-08,-0.17139632,-0.46987817,-0.60029822,-1.2196221,-1.5070632,-1.8095785,-2.0340946,-2.166557,-2.1606331,-2.0221532,Check for Misalignment
2448302,2008-11-13,0.32002587,-1.0007382,-2.6516137,-4.2215662,-4.6489552,-4.0051104,-2.862834,-1.9824602,-1.746335,-1.1131842,Turn Off Machine
4219270,2021-06-14,-0.31922364,-1.5965967,-2.184149,-2.7583779,-2.8354497,-2.8683747,-2.6550544,-2.174273,-1.679539,-1.0016229,Test HVAC
6829427,2014-06-27,-0.72308584,-2.7007593,-4.0283311,-5.0609442,-4.341077,-2.9915145,-1.7427709,-1.5160189,-1.0673611,-0.21477353,Check Bearings
7072552,2013-09-02,0.79381765,-0.75561759,-2.3347608,-3.6276471,-4.2180905,-3.6512966,-2.6611758,-1.9159358,-1.6942454,-1.2346018,Run at 75% Capacity
6451317,2013-07-28,-2.1068516,-3.4131971,-3.9890701,-4.1842563,-3.7814006,-3.0434459,-1.954602,-1.6395223,-1.3579279,-0.80974566,Run at 75% Capacity
3939706,2009-05-22,1.0850975,0.77107384,0.060145761,-0.63014694,-0.9631749,-1.3904087,-1.6644703,-1.7522739,-1.3319178,-0.83571192,Review Capacity
2445071,2014-04-26,0.76050018,-1.9058852,-3.6541572,-4.7151014,-4.4778111,-3.5259878,-2.1456193,-1.425677,-1.0439072,-0.25159427,Check Bearings
5977819,2012-03-22,-0.70456166,-2.4708303,-3.14706,-4.1539663,-4.2880728,-3.4992902,-2.2414438,-1.4713514,-1.1594744,-0.81960112,Run at 50% Capacity
3285209,2015-05-19,-1.086337,-2.2925606,-3.583671,-4.4509946,-4.0429514,-3.2940642,-1.9255393,-1.230098,-1.5410226,-1.2896284,Check Belts
8232128,2019-07-29,-0.37207294,-0.99637893,-1.2144484,-1.610226,-1.8701068,-2.3031773,-2.319952,-1.9918431,-1.4781615,-0.92587089,Test Electrical
2047923,2018-12-29,-0.62499222,-1.6721318,-2.237833,-3.1895364,-3.3809286,-3.3492206,-3.0218823,-2.5586233,-2.1089621,-1.4729158,Check for Misalignment
5870706,2017-06-03,-1.1241344,-1.6192139,-2.0346502,-2.10798,-2.3309591,-2.4005896,-2.1995104,-1.918882,-1.5263094,-1.0845689,Check for Corrosion
1452486,2016-07-12,-0.55688652,-1.9103624,-2.9574447,-4.0194568,-3.9120962,-3.1743738,-2.2793635,-1.8780511,-1.5233801,-0.89103839,Check for Corrosion
6726790,2016-10-08,-3.1075674,-4.5213024,-3.9760497,-3.9309388,-3.2106319,-2.0478153,-1.4429054,-1.2718087,-0.80913107,-0.4646006,Check for Corrosion
9241449,2010-01-06,0.1101565,-2.437036,-4.0566263,-4.3607501,-3.8818206,-3.1715486,-2.101467,-1.5233607,-1.3746393,-0.61103442,Run at 25% Capacity
5575218,2008-07-23,0.6818035,-0.75400452,-2.4123084,-4.3054731,-5.3757152,-4.8830476,-3.3503212,-1.9626742,-1.6241524,-0.88340091,Turn Off Machine
2895212,2017-01-28,-0.013217064,-1.1425381,-2.1655419,-2.83294,-3.0833282,-3.3219563,-3.094526,-2.7856003,-2.4192188,-1.8559424,Check for Corrosion
8262219,2009-07-18,1.5623024,-0.51104739,-2.4995383,-3.9048771,-4.1487828,-3.7251904,-3.171356,-2.3600566,-1.2830499,-0.80563171,Review Capacity
2839769,2012-02-26,-1.8219298,-3.6465753,-4.1697441,-4.7463252,-3.951594,-2.7746853,-1.7853242,-0.96075077,-0.71557417,-0.41620323,Run at 50% Capacity
8352159,2012-05-30,-0.91471215,-2.413428,-3.948923,-4.4875248,-4.0444693,-3.3585223,-2.2349405,-1.6884751,-1.5189769,-0.77875518,Run at 75% Capacity
3804532,2014-10-31,-1.1428924,-3.4642986,-4.0574463,-4.4892678,-3.9698828,-3.288776,-1.9032713,-1.3390794,-1.1015382,-0.36072994,Check Bearings
9568687,2014-03-10,-1.7278123,-4.2174129,-4.1944345,-4.4075379,-4.1565087,-3.3405499,-1.9951837,-1.197964,-1.0794073,-0.51270104,Check Bearings
4176656,2018-02-27,-0.70256695,-1.2839691,-1.2550388,-1.6291029,-1.7753959,-1.9199574,-2.0150506,-2.0299334,-2.0211498,-1.6681385,Check for Misalignment
4475443,2014-07-20,-0.84959585,-2.7393393,-3.7660762,-4.1715992,-4.0825859,-3.691189,-3.0796403,-2.0009015,-1.5806053,-1.3291249,Check Bearings
4169656,2010-12-30,-2.5923624,-2.794226,-3.6129813,-3.6064923,-2.9335643,-1.7987615,-1.0535456,-0.81817773,-0.16502272,0.22462688,Run at 50% Capacity
5518009,2011-02-07,0.80797513,-0.21088497,-2.0976524,-3.2903966,-4.1936899,-4.5174579,-3.4996276,-2.1252512,-1.8251787,-1.103915,Run at 50% Capacity
8495185,2011-11-18,-1.3034924,-3.6720958,-4.3991427,-4.4150806,-3.6240227,-2.5939197,-1.6036021,-1.3902198,-0.6983144,-0.11743434,Run at 50% Capacity
7435829,2008-10-13,-0.54622738,-2.5704299,-3.7301465,-4.3864657,-4.3382171,-3.2779463,-1.9460905,-1.590421,-1.1189923,-0.27975823,Turn Off Machine
4846088,2008-07-10,0.89008037,-1.0931429,-3.120885,-4.7460683,-4.6558949,-3.5446364,-1.990285,-1.6173654,-1.163106,-0.13960185,Turn Off Machine
3266459,2008-06-19,0.16958503,-2.4959718,-4.2149509,-4.9466324,-4.4282824,-3.3590297,-1.8088067,-1.2322256,-0.87978376,0.086026962,Turn Off Machine
23631,2013-05-15,-1.763097,-3.8840707,-4.3821432,-4.4515101,-3.1568293,-2.3173648,-1.6545416,-1.2398166,-0.36192629,-0.39090781,Run at 75% Capacity
63660,2017-01-25,-0.076217032,-1.7567753,-3.1295015,-3.9683919,-4.0787299,-3.9824147,-3.4138662,-2.1351252,-1.3913465,-1.2886758,Check for Corrosion
6355884,2011-12-28,-0.28007207,-2.531466,-3.7913962,-4.0677922,-3.9751435,-3.7118036,-2.693478,-1.6542714,-1.3684021,-1.0082258,Run at 50% Capacity
8089626,2010-09-15,1.1351719,-0.60165554,-3.4947415,-4.9507896,-4.5379246,-3.3201034,-1.9110845,-1.4286871,-1.0460768,-0.27685116,Run at 25% Capacity
7360687,2016-02-19,-0.81759983,-2.7412993,-3.9758853,-4.226891,-3.5677841,-2.591434,-1.8282143,-1.719448,-1.2880243,-0.71290002,Check Belts
5734024,2020-10-14,1.5089993,1.4203663,0.82058328,-0.09555342,-0.68951129,-1.1531829,-1.5017626,-1.8671051,-1.967416,-1.9558761,Test HVAC
4956214,2021-02-01,0.19617576,-0.71029281,-1.3062737,-1.8892655,-2.121613,-2.3565412,-2.4279399,-2.3171572,-2.1034312,-1.632112,Test HVAC
23066,2013-03-02,1.3731584,0.29109701,-1.6695628,-2.9591312,-4.0465708,-4.2181097,-3.1326364,-2.1637975,-1.7932215,-0.94119782,Run at 75% Capacity
3900498,2018-01-22,0.35441098,-0.1699151,-0.81283446,-1.5352113,-1.7615888,-1.9300427,-1.7926067,-1.4090331,-0.86473136,-0.26087497,Check for Misalignment
9157216,2012-09-29,-0.10740691,-1.6605348,-2.689391,-3.6462074,-4.1675802,-3.8600027,-3.0430146,-1.9539386,-1.4525094,-0.90907864,Run at 75% Capacity
6217027,2015-03-27,1.8670232,1.0996969,-1.2796659,-2.8066483,-3.8901563,-4.3039216,-3.269343,-1.9679804,-1.8493836,-0.98136092,Check Belts
7051933,2012-09-25,0.96580368,-0.5644416,-2.0611348,-3.7350089,-4.2914652,-3.6491716,-2.4606671,-1.8547596,-1.6650698,-0.83147142,Run at 75% Capacity
7084838,2013-02-03,-1.4874255,-4.4519078,-4.2635083,-4.3282048,-3.2084351,-2.194549,-1.8519623,-1.2792055,-0.49747648,-0.34761453,Run at 75% Capacity
6454908,2010-10-22,0.31225911,-1.4217899,-2.4950947,-3.7593623,-4.2167585,-3.7458014,-2.6005045,-1.8382462,-1.6499259,-1.0714832,Run at 25% Capacity
5198437,2013-11-10,-1.7200653,-3.7862362,-3.9311423,-3.7625605,-3.2619803,-2.4008137,-1.6934774,-1.5131386,-0.84351569,-0.42848335,Check Bearings
8380089,2009-12-08,1.6898387,-0.86153917,-2.6406507,-3.3967413,-3.5803931,-3.6617353,-3.097379,-1.9164371,-1.2671049,-1.2525816,Run at 25% Capacity
3611701,2013-06-26,-0.15638419,-2.6566371,-3.9460827,-4.3017363,-4.1322585,-3.3962986,-2.4412309,-1.5962071,-1.3750324,-0.80698473,Run at 75% Capacity
6478917,2020-01-26,0.8976502,0.18917154,-0.39524822,-1.1682872,-1.9667252,-2.7433403,-3.0647789,-3.1656783,-2.9857149,-2.4407022,Test Power Source
4461290,2010-09-10,-0.62790309,-2.8299649,-3.7359206,-4.2945956,-3.9375404,-3.321209,-2.3249685,-1.7071367,-1.5212799,-0.90103533,Run at 25% Capacity
1429516,2012-08-12,-0.74841891,-2.0760777,-2.512556,-3.1376639,-3.6858715,-3.8337461,-3.4150692,-2.3624727,-1.6513143,-1.3239483,Run at 75% Capacity
1456413,2017-07-26,-2.2302832,-3.0106687,-3.0072893,-3.4217384,-2.9055955,-2.7078991,-2.1779972,-1.5302756,-1.2178173,-1.0907601,Check for Corrosion
1414719,2011-08-11,-2.7150803,-3.8547136,-3.3802947,-3.018378,-2.2070507,-1.6682489,-1.2377517,-0.83344806,-0.57163362,-0.63078665,Run at 50% Capacity
7523708,2021-06-17,0.55986208,0.51412813,0.72076235,0.8893222,0.96211277,1.1051638,1.3643635,1.5867271,1.6459389,1.5929928,Test HVAC
6286847,2009-06-07,-0.41120406,-1.4397975,-1.868252,-2.4386728,-2.5254543,-2.5544866,-2.5992395,-2.4244148,-2.2126218,-1.856414,Review Capacity
7012283,2011-05-31,-1.2702362,-3.1838151,-4.1998691,-4.6354732,-3.8712596,-2.6975108,-1.7163167,-1.4482243,-0.81160125,-0.1499832,Run at 50% Capacity
690488,2009-07-10,-0.16546262,-1.0322446,-1.6044504,-1.9146224,-1.7995452,-1.5490825,-1.1596422,-0.82567383,-0.73760765,-0.63546741,Review Capacity
5742641,2015-10-07,1.547441,0.47774176,0.32152457,0.32179512,0.56636601,0.95913462,1.4357075,1.4713823,1.68373,1.8986267,Check Belts
2183173,2012-04-10,-0.88203895,-3.2897357,-4.7067339,-4.9455342,-3.7271217,-2.4660829,-1.7611853,-1.4812865,-0.50619486,-0.19543377,Run at 50% Capacity
8281417,2018-09-20,-0.2099766,-0.81924467,-0.91050375,-1.362259,-1.7383425,-1.9931119,-2.0737531,-1.8701806,-1.6181256,-1.2752987,Check for Misalignment
421951,2016-12-18,-1.2484006,-2.2316029,-2.299104,-2.852319,-2.904361,-2.7255203,-2.5852691,-2.2555289,-1.9515856,-1.4915237,Check for Corrosion
633065,2009-05-16,-0.95726017,-2.1521446,-2.7491046,-2.9768169,-2.8564956,-2.7152774,-2.2131478,-1.6151944,-1.1952674,-0.97547463,Review Capacity
1319127,2008-08-17,0.49946565,-0.93261328,-1.8921213,-2.6394317,-2.7930139,-2.3650727,-1.1772442,-0.062557616,0.21415306,0.76121636,Turn Off Machine
9152322,2020-01-19,1.1032011,0.50286105,-0.32965525,-1.2511091,-2.0699976,-2.6914911,-3.0082745,-2.9403479,-2.6011422,-2.1896541,Test Power Source
784087,2010-09-08,-1.229557,-2.6296594,-3.5225005,-4.1857843,-4.1342976,-3.6404294,-2.8131668,-1.70942,-1.3419003,-1.1333678,Run at 25% Capacity
6035232,2014-06-30,-0.17613346,-2.1470222,-3.2370685,-4.3035919,-3.8817793,-2.8000905,-1.897281,-1.8210477,-1.0402168,-0.53489947,Check Bearings
2684521,2011-05-17,0.4432041,-1.258996,-2.9497763,-4.1834122,-4.2242976,-3.6677187,-2.5676625,-1.6460925,-1.4708128,-0.87410458,Run at 50% Capacity
2148792,2010-08-13,1.5031742,1.0465351,-0.49245401,-2.0666114,-2.9682377,-3.6256434,-3.1762161,-2.2061565,-1.7470965,-1.7756739,Run at 25% Capacity
3190166,2020-01-02,0.82403092,0.13820512,-0.70870751,-1.3799593,-2.0906839,-2.708921,-2.9107966,-2.7520693,-2.4692183,-2.1069898,Test Power Source
2010076,2018-01-07,-0.30542179,-1.0833547,-1.596103,-2.4983887,-2.7979038,-3.0248128,-2.798741,-2.4042027,-1.9114343,-1.3216569,Check for Misalignment
4047834,2019-06-21,-0.11067704,-1.305832,-1.8750015,-2.3781281,-2.5779217,-2.7453029,-2.7922023,-2.7349282,-2.3370751,-1.749144,Test Electrical
5399020,2016-06-26,0.96260711,-0.67770175,-2.4213989,-4.1889187,-4.5788597,-3.7053614,-2.5719891,-1.8670412,-1.5972946,-0.82612807,Check for Corrosion
3644495,2014-11-05,-1.9922116,-3.5258654,-3.8136802,-3.7878621,-3.3596965,-2.6223736,-1.913912,-1.5471641,-1.1786879,-0.66554298,Check Bearings
3495126,2012-11-27,0.62047405,-0.90681277,-2.0695245,-2.7485339,-2.7925047,-2.6831553,-2.5362796,-1.9250356,-1.0982739,-1.1649387,Run at 75% Capacity
2382119,2020-10-07,0.64960894,0.85747805,1.3211152,0.70646817,0.064622615,-0.88907378,-1.3376374,-1.7385864,-2.0807547,-2.2712903,Test HVAC
1406001,2010-03-06,-0.14468176,-1.5176072,-2.4011215,-3.3742712,-4.1016024,-3.7891942,-2.5329173,-1.6765557,-1.8436195,-1.2950961,Run at 25% Capacity
1942341,2017-06-29,-1.7081574,-2.2688257,-2.5359759,-3.0434822,-2.8903709,-2.7825042,-2.3453201,-1.9940773,-1.2024145,-0.78392577,Check for Corrosion
272602,2010-07-17,1.0445413,-0.51264382,-1.9942798,-3.173678,-4.0489881,-4.0408148,-3.3931719,-1.9958545,-1.5268058,-1.3334169,Run at 25% Capacity
6421638,2014-04-30,-0.12594014,-3.0472487,-4.1802025,-4.4791446,-3.9663021,-2.7232918,-1.8049916,-1.5041867,-0.94310185,-0.29211728,Check Bearings
8932382,2019-09-23,-0.35947539,-0.80253841,-1.0490345,-1.7241815,-1.8177427,-1.9125169,-2.165653,-2.2026902,-2.0487722,-1.8816955,Test Power Source
9053181,2016-02-10,0.1524721,-1.9352961,-4.0188109,-4.8117962,-4.30447,-3.3544416,-2.102082,-1.0116992,-0.47111673,0.68668508,Check Belts
3264628,2021-02-28,1.5590371,0.73104183,-0.4474361,-1.4028129,-1.9364576,-2.5329409,-2.8551677,-2.736832,-2.4567694,-2.0767758,Test HVAC
5199816,2015-12-27,-0.39490182,-2.1373528,-3.436145,-4.4070589,-4.2850058,-3.5090861,-2.272649,-1.7644726,-1.547295,-0.8867441,Check Belts
4084360,2019-04-22,2.2989998,1.2814887,-0.33275275,-1.6193784,-2.3949614,-2.7798071,-2.8066564,-2.6893387,-2.485207,-2.1134592,Test Electrical
7816634,2019-12-27,0.41721329,-0.74388962,-2.0709294,-3.0992326,-3.3847104,-3.05032,-2.611508,-2.0129345,-1.4015728,-0.94098017,Test Power Source
1451293,2008-07-05,-1.3152739,-3.4270367,-3.4701365,-3.6584573,-3.3285698,-3.0481,-2.0765239,-1.2056343,-1.0414924,-0.76686214,Turn Off Machine
1113926,2008-11-16,-1.0012172,-3.0404491,-4.0512842,-4.3276995,-3.8129568,-2.5533212,-1.7240395,-1.3866539,-0.58068975,-0.18436342,Turn Off Machine
3792156,2021-07-30,-0.98506256,-1.7350057,-2.0963183,-2.5809104,-2.9991451,-2.9753515,-2.5823783,-1.8457792,-1.2570417,-0.78945328,Test HVAC
1208188,2013-01-02,-0.277903,-2.4682505,-3.8480322,-4.4836482,-4.3185214,-3.7452172,-2.5730877,-1.5899019,-1.4421111,-0.94018564,Run at 75% Capacity
4982200,2015-12-02,-0.44025729,-2.2097952,-3.6518243,-4.7067517,-4.2175172,-3.1472631,-2.1251141,-1.71861,-1.2877923,-0.43503143,Check Belts
8763821,2012-01-09,-2.6738294,-3.0143081,-3.0707932,-3.8410326,-3.7960403,-3.8968294,-3.2721378,-2.7740988,-1.7946623,-1.3927365,Run at 50% Capacity
