Loan_ID,APP_DATE,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,ACTION
705786,2017-03-22,23300,103783.0,132612.0,DebtCon,Sales,1.0,0.0,,120.3479666,0.0,19.0,203.3121487,Put More Money Down on Mortgage
862838,2019-12-18,33000,54821.0,104724.0,DebtCon,Office,1.0,0.0,0.0,164.3009187,1.0,24.0,34.39190747,Put More Money Down on Mortgage
936240,2007-12-29,9900,37609.0,120186.0,DebtCon,Other,,0.0,0.0,176.367839,3.0,30.0,53.17891111,Put More Money Down on Mortgage
827756,2010-01-08,12300,68024.0,78800.0,DebtCon,Sales,7.0,0.0,0.0,125.5040514,0.0,35.0,29.29334435,Put More Money Down on Mortgage
618258,2011-12-23,15000,,48800.0,DebtCon,Office,2.0,0.0,0.0,86.26666667,2.0,9.0,,Put More Money Down on Mortgage
958964,2014-02-23,17800,100277.0,163702.0,,Other,,1.0,,256.8544712,,24.0,36.35403645,Put More Money Down on Mortgage
298992,2013-01-14,16200,,95280.0,,Other,,0.0,0.0,194.4600162,1.0,10.0,33.12372818,Put More Money Down on Mortgage
497916,2006-09-17,7900,40827.0,55757.0,DebtCon,Other,14.0,0.0,0.0,87.60346244,0.0,11.0,31.8505639,Put More Money Down on Mortgage
665328,2008-06-18,10300,58572.0,75946.0,DebtCon,Office,5.0,0.0,0.0,85.01005286,2.0,14.0,27.76943894,Put More Money Down on Mortgage
658647,2020-02-14,34600,143542.0,195327.0,DebtCon,ProfExe,23.0,0.0,0.0,174.6353487,1.0,22.0,37.44738401,Put More Money Down on Mortgage
249698,2009-10-29,12100,68941.0,75029.0,HomeImp,Office,14.0,0.0,0.0,254.1896555,0.0,31.0,43.89784955,Put More Money Down on Mortgage
218226,2007-03-08,8500,47777.0,78979.0,HomeImp,Other,18.0,0.0,0.0,202.9542765,1.0,16.0,34.8286475,Put More Money Down on Mortgage
921139,2006-10-20,8000,38758.0,46466.26,HomeImp,Mgr,21.0,1.0,1.0,229.3,1.0,18.0,,Put More Money Down on Mortgage
873871,2007-06-16,9000,79259.0,84322.0,HomeImp,Other,22.0,0.0,0.0,359.3322724,1.0,47.0,29.67139034,Put More Money Down on Mortgage
575375,2016-01-14,21100,63955.0,95621.0,HomeImp,ProfExe,19.0,0.0,0.0,626.2970937,0.0,24.0,20.01032357,Put More Money Down on Mortgage
147528,2020-10-30,47600,,86652.0,HomeImp,Office,7.0,0.0,0.0,304.0581023,0.0,13.0,31.57129492,Put More Money Down on Mortgage
381835,2016-01-07,21000,65205.0,86313.0,DebtCon,,4.0,0.0,0.0,99.36947035,0.0,15.0,40.14317075,Put More Money Down on Mortgage
822035,2005-05-02,4800,67317.0,97191.0,,Mgr,3.0,0.0,0.0,137.3197248,0.0,23.0,34.27529378,Put More Money Down on Mortgage
374213,2013-01-08,16200,104896.0,137950.0,DebtCon,Office,2.0,,,112.2830944,2.0,15.0,32.76133796,Put More Money Down on Mortgage
115254,2010-07-23,13000,38200.0,64764.0,HomeImp,ProfExe,4.0,0.0,0.0,211.0666667,3.0,18.0,,Put More Money Down on Mortgage
628907,2010-12-06,13500,65000.0,,DebtCon,ProfExe,14.0,0.0,2.0,105.5,4.0,34.0,,Put More Money Down on Mortgage
637966,2008-05-31,10200,38223.0,60728.0,DebtCon,Mgr,,,,,,,35.34785382,Put More Money Down on Mortgage
540239,2016-09-27,22400,40605.0,76986.0,DebtCon,ProfExe,9.0,0.0,0.0,276.2759139,0.0,19.0,39.7301928,Put More Money Down on Mortgage
222895,2020-01-28,33900,231455.0,290039.0,DebtCon,ProfExe,4.0,0.0,0.0,222.8746479,0.0,30.0,16.6894908,Put More Money Down on Mortgage
797887,2014-05-04,18100,53524.0,102133.0,HomeImp,Other,0.0,0.0,3.0,52.94238739,1.0,9.0,40.61679727,Put More Money Down on Mortgage
160689,2006-06-04,7200,71667.0,117325.0,DebtCon,Office,0.0,0.0,1.0,241.0560781,1.0,38.0,18.51055133,Put More Money Down on Mortgage
680407,2006-07-10,7500,44744.0,60518.0,DebtCon,,6.0,,0.0,79.41122999,,16.0,34.39744173,Put More Money Down on Mortgage
44219,2009-09-24,12000,87000.0,113850.0,DebtCon,Office,11.0,0.0,0.0,216.1333333,0.0,12.0,,Put More Money Down on Mortgage
519067,2007-08-11,9200,69657.0,89082.0,DebtCon,,3.0,0.0,0.0,217.3211547,0.0,16.0,28.74989037,Put More Money Down on Mortgage
897095,2010-06-17,12900,149297.0,177044.0,HomeImp,Office,4.0,0.0,0.0,205.8739212,0.0,56.0,34.97573417,Put More Money Down on Mortgage
701826,2015-09-21,20500,39147.0,58049.0,DebtCon,Other,,0.0,0.0,202.9030543,0.0,12.0,38.64601873,Put More Money Down on Mortgage
929106,2020-08-02,41600,365528.0,469694.0,HomeImp,ProfExe,3.0,0.0,0.0,304.9828841,3.0,15.0,43.36362433,Put More Money Down on Mortgage
977001,2010-12-30,13600,55901.0,87519.0,DebtCon,Office,13.0,0.0,1.0,107.9131329,0.0,23.0,36.3270224,Put More Money Down on Mortgage
864016,2017-12-17,25000,42632.0,71000.0,DebtCon,Other,24.0,,1.0,284.9333333,1.0,30.0,,Put More Money Down on Mortgage
792167,2005-02-15,3200,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0,121.8666667,3.0,21.0,,Put More Money Down on Mortgage
794223,2017-07-08,23900,,151738.0,,,,,,,,,16.42639471,Put More Money Down on Mortgage
280601,2008-12-01,11000,88252.0,112567.0,DebtCon,Other,11.0,0.0,0.0,224.7155765,2.0,15.0,39.52685236,Put More Money Down on Mortgage
873691,2013-10-28,17300,79412.0,114906.0,DebtCon,Mgr,17.0,0.0,0.0,247.3605705,4.0,30.0,36.53643556,Put More Money Down on Mortgage
25623,2019-08-29,30500,124225.0,181129.0,DebtCon,Mgr,11.0,0.0,0.0,189.4391712,2.0,28.0,43.16839173,Put More Money Down on Mortgage
266532,2021-01-08,52000,,85298.0,HomeImp,Self,10.0,0.0,0.0,178.5784823,1.0,21.0,25.51396564,Put More Money Down on Mortgage
668560,2005-03-19,4000,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0,168.6666667,0.0,18.0,,Put More Money Down on Mortgage
927281,2012-02-29,15100,,53238.0,DebtCon,Other,,,,350.9611645,,16.0,34.05584767,Put More Money Down on Mortgage
176050,2018-03-30,25400,62906.0,96327.0,DebtCon,Other,17.0,0.0,0.0,110.6201271,1.0,16.0,33.76074836,Put More Money Down on Mortgage
771347,2010-03-20,12600,62493.0,77141.0,,Other,13.0,0.0,0.0,266.3331014,0.0,26.0,27.0078722,Put More Money Down on Mortgage
111227,2013-12-25,17500,85183.0,108948.0,HomeImp,ProfExe,4.0,0.0,0.0,125.1094856,1.0,25.0,37.10302599,Put More Money Down on Mortgage
336506,2009-05-29,11700,78789.0,91342.0,DebtCon,Mgr,5.0,0.0,0.0,128.3606742,2.0,27.0,41.95268179,Put More Money Down on Mortgage
842927,2013-03-17,16400,85601.0,100078.0,HomeImp,Office,,0.0,0.0,176.6987412,1.0,25.0,43.02747053,Put More Money Down on Mortgage
641122,2009-09-06,12000,98000.0,123385.0,HomeImp,ProfExe,10.0,0.0,0.0,170.4333333,3.0,32.0,,Put More Money Down on Mortgage
409752,2020-04-12,36800,35077.0,53120.0,DebtCon,Other,,0.0,0.0,,6.0,0.0,34.98501256,Put More Money Down on Mortgage
830971,2020-05-14,38200,128081.0,196037.0,DebtCon,Mgr,,0.0,0.0,197.8654921,0.0,24.0,32.56785691,Put More Money Down on Mortgage
40017,2008-05-05,10100,58446.0,71145.0,HomeImp,Other,4.0,0.0,1.0,244.6243676,1.0,15.0,38.11730639,Put More Money Down on Mortgage
338053,2009-09-12,12000,94000.0,112125.0,HomeImp,Office,2.0,0.0,0.0,143.0333333,1.0,22.0,,Put More Money Down on Mortgage
215912,2007-01-02,8300,61213.0,65798.0,HomeImp,Other,6.0,0.0,0.0,86.29651576,2.0,20.0,41.42687223,Put More Money Down on Mortgage
549819,2012-04-01,15200,49428.0,62696.0,DebtCon,Mgr,27.0,0.0,0.0,265.3953128,1.0,16.0,38.50079645,Put More Money Down on Mortgage
645323,2016-01-12,21100,72000.0,98000.0,DebtCon,Office,6.0,0.0,2.0,79.16666667,4.0,29.0,,Put More Money Down on Mortgage
552000,2007-08-05,9200,64900.0,78000.0,DebtCon,Mgr,10.0,0.0,0.0,122.7666667,2.0,24.0,,Put More Money Down on Mortgage
385897,2013-05-29,16700,12830.0,56465.0,DebtCon,ProfExe,3.0,0.0,0.0,301.1485223,0.0,15.0,18.25148086,Put More Money Down on Mortgage
499600,2007-04-02,8600,45960.0,57473.0,DebtCon,Mgr,4.0,0.0,0.0,189.7680601,0.0,22.0,26.75441155,Put More Money Down on Mortgage
234372,2018-12-25,27400,23939.0,56874.0,DebtCon,Office,3.0,0.0,1.0,197.8,0.0,11.0,,Put More Money Down on Mortgage
842547,2015-08-20,20400,44746.0,63433.0,DebtCon,Office,5.0,0.0,0.0,176.3284966,2.0,26.0,36.67687831,Put More Money Down on Mortgage
408843,2010-02-16,12500,71582.0,93400.0,DebtCon,Other,6.0,3.0,0.0,74.06666667,1.0,21.0,,Put More Money Down on Mortgage
148778,2017-10-10,24600,113034.0,165176.0,DebtCon,Mgr,15.0,0.0,0.0,194.842164,0.0,26.0,32.77014793,Put More Money Down on Mortgage
692708,2010-05-09,12800,67867.0,78660.0,DebtCon,Other,3.0,,,159.8014934,,34.0,30.0109096,Put More Money Down on Mortgage
257426,2013-06-12,16800,113021.0,146222.0,,Mgr,5.0,3.0,2.0,123.8934197,2.0,65.0,62.55930782,Put More Money Down on Mortgage
749630,2015-12-13,21000,81848.0,109860.0,DebtCon,Other,,0.0,0.0,173.7861616,1.0,24.0,40.05752741,Put More Money Down on Mortgage
738190,2011-02-23,13800,85805.0,135789.0,DebtCon,ProfExe,15.0,0.0,0.0,303.6882297,0.0,18.0,27.86907921,Put More Money Down on Mortgage
476951,2014-07-07,18400,63569.0,95729.0,HomeImp,ProfExe,23.0,0.0,0.0,237.2759487,0.0,23.0,38.41536702,Put More Money Down on Mortgage
543443,2018-01-18,25000,122000.0,151200.0,DebtCon,Office,1.0,1.0,6.0,262.3333333,3.0,30.0,,Put More Money Down on Mortgage
434453,2011-05-02,14000,46541.0,64338.0,DebtCon,Other,0.0,0.0,0.0,204.4094433,1.0,12.0,28.36479851,Put More Money Down on Mortgage
417632,2011-11-09,14900,72637.0,103297.0,DebtCon,Other,4.0,2.0,0.0,83.46608634,0.0,20.0,22.55303962,Put More Money Down on Mortgage
790574,2016-12-05,22700,93413.0,134653.0,DebtCon,ProfExe,,0.0,0.0,219.5706538,1.0,21.0,27.28456073,Put More Money Down on Mortgage
797740,2007-06-11,9000,50513.0,61190.0,DebtCon,Other,5.0,0.0,0.0,75.38855124,1.0,11.0,30.49800512,Put More Money Down on Mortgage
205917,2016-04-03,21500,71636.0,96678.0,HomeImp,Office,13.0,0.0,0.0,135.9405415,0.0,13.0,37.87247372,Put More Money Down on Mortgage
295390,2010-05-07,12800,54151.0,83828.0,DebtCon,Other,13.0,0.0,0.0,132.1602699,0.0,16.0,23.47742628,Put More Money Down on Mortgage
327524,2019-01-02,27500,137900.0,184000.0,DebtCon,Office,10.0,0.0,0.0,,0.0,0.0,,Put More Money Down on Mortgage
41637,2017-01-12,22900,61067.0,96306.0,DebtCon,Other,5.0,0.0,0.0,228.898609,1.0,20.0,36.13495946,Put More Money Down on Mortgage
160245,2005-06-05,5000,,94119.0,HomeImp,Other,19.0,,,,,,,Put More Money Down on Mortgage
484511,2005-12-31,6300,79667.0,96988.0,DebtCon,ProfExe,1.0,,,,,,29.83596072,Put More Money Down on Mortgage
204804,2018-09-22,26600,122501.0,153280.0,DebtCon,Mgr,2.0,0.0,0.0,289.581723,0.0,25.0,38.1297118,Put More Money Down on Mortgage
863276,2019-07-13,29900,73506.0,115000.0,DebtCon,Mgr,11.0,0.0,0.0,77.13333333,1.0,35.0,,Put More Money Down on Mortgage
197401,2017-12-10,25000,126462.0,207200.0,DebtCon,ProfExe,10.0,0.0,0.0,239.8,3.0,27.0,,Put More Money Down on Mortgage
204481,2009-07-13,11800,112146.0,140781.0,DebtCon,ProfExe,14.0,,0.0,170.7005075,0.0,32.0,29.9424924,Put More Money Down on Mortgage
111007,2016-10-30,22500,40884.0,76895.0,DebtCon,ProfExe,8.0,0.0,0.0,270.2601967,0.0,18.0,39.95457278,Put More Money Down on Mortgage
784767,2010-03-03,12500,,,,,,,,,,,27.35264423,Put More Money Down on Mortgage
496167,2012-09-01,15700,74587.0,93180.0,DebtCon,Mgr,19.0,0.0,0.0,263.1591633,10.0,24.0,35.40441453,Put More Money Down on Mortgage
359529,2014-12-27,19200,32417.0,97000.0,HomeImp,Other,6.0,0.0,0.0,130.8666667,0.0,15.0,,Put More Money Down on Mortgage
975179,2017-05-24,23700,57553.0,101656.0,HomeImp,ProfExe,19.0,0.0,0.0,648.3284926,0.0,23.0,22.84647896,Put More Money Down on Mortgage
692516,2017-10-31,24800,109084.0,140355.0,DebtCon,Mgr,11.0,2.0,0.0,183.7952585,5.0,18.0,40.60479583,Put More Money Down on Mortgage
487301,2013-10-09,17200,74402.0,,DebtCon,ProfExe,13.0,0.0,1.0,115.3530306,4.0,34.0,41.35903633,Put More Money Down on Mortgage
746492,2011-01-08,13600,159591.0,182585.0,DebtCon,ProfExe,7.0,,1.0,199.6986174,3.0,25.0,42.31951831,Put More Money Down on Mortgage
527243,2006-07-15,7500,11358.0,36892.0,DebtCon,Other,5.0,0.0,0.0,286.9228238,0.0,11.0,23.06292573,Put More Money Down on Mortgage
839214,2014-06-19,18300,63351.0,87645.0,DebtCon,Other,1.0,0.0,0.0,324.614647,3.0,15.0,43.90230255,Put More Money Down on Mortgage
550513,2013-02-23,16400,71264.0,94726.0,DebtCon,Other,1.0,0.0,0.0,177.2573424,1.0,31.0,35.03448136,Put More Money Down on Mortgage
170372,2009-12-08,12300,79838.0,85209.0,DebtCon,ProfExe,8.0,0.0,0.0,173.8386239,0.0,11.0,37.8244708,Put More Money Down on Mortgage
829094,2016-05-31,21800,48139.0,80114.0,DebtCon,Other,13.0,0.0,0.0,111.9986308,1.0,9.0,4.142703972,Put More Money Down on Mortgage
145755,2018-07-29,26300,118304.0,177819.0,DebtCon,Sales,17.0,0.0,0.0,299.2172523,1.0,30.0,34.36826933,Put More Money Down on Mortgage
362788,2014-10-04,18800,67666.0,167619.0,HomeImp,ProfExe,14.0,0.0,0.0,135.9518082,1.0,11.0,47.59052865,Put More Money Down on Mortgage
963542,2009-10-28,12100,50100.0,66410.0,DebtCon,Other,3.0,0.0,0.0,176.0098643,0.0,14.0,28.54860369,Put More Money Down on Mortgage
96954,2015-07-17,20200,35819.0,49843.0,HomeImp,Self,4.0,0.0,,121.1022295,,11.0,27.0375129,Put More Money Down on Mortgage
926835,2016-07-16,22000,71858.0,99000.0,DebtCon,Other,18.0,0.0,0.0,201.8666667,1.0,13.0,,Put More Money Down on Mortgage
406548,2008-10-26,10800,57892.0,78900.0,DebtCon,ProfExe,15.0,0.0,3.0,329.1666667,1.0,14.0,,Put More Money Down on Mortgage
787780,2011-07-19,14400,111914.0,142105.0,DebtCon,ProfExe,3.0,0.0,0.0,284.516966,1.0,46.0,32.91138466,Put More Money Down on Mortgage
40551,2014-10-18,18900,87081.0,115165.0,DebtCon,Other,13.0,0.0,0.0,120.4621862,1.0,8.0,34.40037656,Put More Money Down on Mortgage
607138,2006-05-27,7200,98691.0,115750.0,HomeImp,Office,22.0,0.0,0.0,118.0001423,0.0,11.0,37.72035861,Put More Money Down on Mortgage
250157,2005-11-05,6000,53500.0,64790.0,DebtCon,Other,0.1,0.0,2.0,105.4,3.0,18.0,,Put More Money Down on Mortgage
298816,2011-12-13,15000,5500.0,29025.0,DebtCon,Other,25.0,0.0,5.0,275.5,1.0,19.0,,Put More Money Down on Mortgage
893696,2005-11-13,6000,179397.0,200000.0,DebtCon,ProfExe,5.0,6.0,0.0,90.3,6.0,29.0,,Put More Money Down on Mortgage
131999,2005-12-28,6300,92659.0,117352.0,HomeImp,ProfExe,6.0,0.0,0.0,199.0119272,0.0,27.0,26.52004952,Put More Money Down on Mortgage
412406,2020-09-04,42900,101731.0,155688.0,DebtCon,Other,14.0,,1.0,235.352057,3.0,30.0,43.18142449,Put More Money Down on Mortgage
447258,2018-02-14,25100,26211.0,42517.0,DebtCon,Other,28.0,0.0,0.0,313.3362279,,12.0,31.29506957,Put More Money Down on Mortgage
768748,2008-10-02,10700,34000.0,49756.0,HomeImp,Other,0.9,1.0,0.0,230.3,8.0,8.0,,Put More Money Down on Mortgage
66374,2011-11-28,15000,86000.0,,DebtCon,Mgr,1.0,0.0,0.0,63.7,1.0,27.0,,Put More Money Down on Mortgage
388602,2013-10-29,17300,73000.0,95000.0,DebtCon,Other,5.0,2.0,1.0,90.3,6.0,30.0,,Put More Money Down on Mortgage
878377,2014-01-29,17700,93302.0,116668.0,DebtCon,Other,20.0,0.0,0.0,283.040946,0.0,16.0,25.2259102,Put More Money Down on Mortgage
587101,2011-01-05,13600,12724.0,52016.0,HomeImp,Office,24.0,0.0,1.0,269.6287109,0.0,19.0,28.17242611,Put More Money Down on Mortgage
166891,2019-06-13,28900,109888.0,182229.0,DebtCon,Sales,16.0,0.0,0.0,302.2264177,1.0,30.0,33.31906189,Put More Money Down on Mortgage
850107,2009-12-26,12300,152274.0,177940.0,HomeImp,Office,4.0,0.0,0.0,196.8767577,0.0,56.0,33.72276915,Put More Money Down on Mortgage
30377,2020-01-01,33300,19675.0,47894.0,DebtCon,Mgr,6.0,0.0,0.0,42.43527965,0.0,7.0,36.66861708,Put More Money Down on Mortgage
923614,2017-08-14,24200,39808.0,,DebtCon,Self,3.0,1.0,0.0,184.7251127,0.0,16.0,51.63038059,Put More Money Down on Mortgage
295404,2019-05-10,28500,137174.0,186118.0,DebtCon,Mgr,1.0,,,115.2948111,,39.0,32.87512565,Put More Money Down on Mortgage
363044,2019-04-22,28400,46126.0,66942.0,DebtCon,Office,18.0,0.0,0.0,180.6683082,2.0,21.0,33.76903515,Put More Money Down on Mortgage
311674,2015-04-05,19900,78142.0,102085.0,HomeImp,Mgr,12.0,0.0,0.0,160.3670328,0.0,27.0,34.09975711,Put More Money Down on Mortgage
282675,2018-07-07,26100,,35271.0,DebtCon,Other,9.0,0.0,,96.52831616,,14.0,23.31865001,Put More Money Down on Mortgage
270228,2018-02-01,25100,85337.0,104607.0,HomeImp,,6.0,,,,,,27.95047513,Put More Money Down on Mortgage
387232,2019-09-05,30700,14834.0,64870.0,DebtCon,Other,1.0,0.0,0.0,99.70436212,1.0,5.0,36.69232406,Put More Money Down on Mortgage
547184,2018-01-14,25000,68000.0,,DebtCon,Other,8.0,,1.0,134.7666667,3.0,33.0,,Put More Money Down on Mortgage
391480,2018-08-27,26500,,63918.0,DebtCon,Other,25.0,0.0,0.0,135.4409472,0.0,8.0,20.16138785,Put More Money Down on Mortgage
183279,2008-03-28,10000,52410.0,54500.0,,Mgr,1.0,9.0,4.0,132.9,4.0,29.0,,Put More Money Down on Mortgage
212557,2017-09-05,24400,88000.0,119100.0,HomeImp,Other,12.0,0.0,0.0,84.23333333,5.0,19.0,,Put More Money Down on Mortgage
563553,2020-06-21,40000,147224.0,225000.0,DebtCon,Self,2.0,0.0,4.0,158.2,3.0,28.0,,Put More Money Down on Mortgage
182837,2005-05-10,4900,,28437.5,HomeImp,,,,,,,,,Put More Money Down on Mortgage
965769,2009-04-11,11400,112930.0,144830.0,DebtCon,ProfExe,2.0,0.0,0.0,271.2380373,1.0,46.0,33.25107931,Put More Money Down on Mortgage
971922,2018-01-12,25000,59000.0,34000.0,DebtCon,Sales,10.0,4.0,2.0,125.8333333,7.0,23.0,,Put More Money Down on Mortgage
22688,2018-11-25,27200,145725.0,179197.0,DebtCon,Other,1.0,0.0,0.0,183.3762884,0.0,34.0,40.28747992,Put More Money Down on Mortgage
601844,2012-06-19,15500,57993.0,82248.0,DebtCon,Other,10.0,0.0,0.0,173.0729685,0.0,16.0,32.14246898,Put More Money Down on Mortgage
469762,2010-06-07,12900,102905.0,117694.0,HomeImp,Office,1.0,0.0,0.0,137.1424731,1.0,21.0,35.86546621,Put More Money Down on Mortgage
54917,2015-08-29,20400,41985.0,100096.0,HomeImp,Other,4.0,0.0,0.0,141.0330881,0.0,14.0,32.93078188,Put More Money Down on Mortgage
96858,2019-01-31,27700,73148.0,101462.0,DebtCon,ProfExe,10.0,0.0,0.0,264.6053894,0.0,33.0,40.47579335,Put More Money Down on Mortgage
179536,2008-02-17,10000,63005.0,78500.0,DebtCon,Other,3.0,,,171.7666667,,35.0,,Put More Money Down on Mortgage
978404,2016-07-21,22000,124000.0,155000.0,DebtCon,Sales,1.0,,7.0,130.3,,55.0,,Put More Money Down on Mortgage
380934,2016-06-22,21900,51861.0,68951.0,DebtCon,ProfExe,10.0,0.0,0.0,188.9786171,0.0,42.0,38.99975416,Put More Money Down on Mortgage
398584,2006-05-07,7000,64255.0,68389.0,HomeImp,Other,4.0,0.0,0.0,80.15243091,2.0,19.0,40.56186054,Put More Money Down on Mortgage
179958,2019-07-28,30000,,46200.0,,,0.0,1.0,3.0,200.9333333,10.0,15.0,,Put More Money Down on Mortgage
