APP_DATE,TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,INC,INC1,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,ACTION
2011-09-28,H,2,4,48,144,240,2,2,1,3100,0,100000,4,V,1,1,1,5,1,500,"Radio, TV, Hifi",Lease,Turkish,Others,Car,no credit cards,Put More Money Down
2011-02-20,H,3,5,45,999,288,2,2,1,4000,0,100000,4,V,1,1,6,3,1,1800,"Radio, TV, Hifi",Owner,German,Others,Car,no credit cards,Put More Money Down
2010-08-03,H,0,1,26,312,9,2,0,0,2000,0,2500,2,U,3,1,0,9,1,1500,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2005-04-01,H,1,2,26,42,108,1,0,0,2200,0,2500,2,U,1,1,1,0,0,1300,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2008-06-22,H,2,4,45,21,240,2,0,0,0,1,0,1,V,1,1,1,5,1,2500,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2012-06-02,H,0,1,41,3,6,2,2,1,4000,0,100000,4,U,3,1,0,4,1,1300,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2006-11-18,H,0,1,26,312,9,2,0,0,2000,0,2500,2,U,3,1,0,0,0,20000,Cars,Lease,German,Others,Car,no credit cards,Put More Money Down
2005-02-01,H,2,3,41,18,33,1,1,1,0,1,0,1,U,1,1,3,0,0,600,Cars,Lease,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2011-03-28,H,1,3,39,72,288,2,2,1,2800,1,100000,5,V,1,1,4,5,1,3000,"Furniture,Carpet",Lease,German,"State,Steel Ind,",Car,Cheque card,Put More Money Down
2005-06-24,H,0,2,46,120,36,2,2,0,0,1,0,1,V,1,1,1,0,0,800,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,Put More Money Down
2009-12-30,H,1,2,38,3,24,2,0,1,0,1,0,1,W,3,1,0,7,1,2500,"Radio, TV, Hifi",Lease,Others,Others,Car,Cheque card,Put More Money Down
2011-06-15,R,0,1,29,54,30,1,2,0,2500,1,2500,3,U,1,1,0,4,1,1300,"Radio, TV, Hifi",Lease,German,Self-employed pe,Car,Cheque card,Put More Money Down
2005-11-08,R,2,4,26,3,45,1,0,0,0,1,0,1,V,1,1,1,0,0,1700,"Furniture,Carpet",Lease,German,"State,Steel Ind,",Car,Cheque card,Put More Money Down
2010-12-02,R,0,2,34,144,192,2,0,1,2000,0,2500,2,V,1,1,1,4,1,1500,"Radio, TV, Hifi",0,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2006-02-03,R,1,3,30,72,120,2,0,0,0,1,0,1,V,1,1,1,3,1,2500,Leisure,Lease,German,Others,Car,Cheque card,Put More Money Down
2005-03-06,H,1,2,34,168,42,1,0,0,2100,0,2500,2,U,3,1,0,0,0,1300,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2008-11-18,R,0,1,26,18,6,2,0,0,1500,0,2500,2,U,3,1,0,3,1,800,"Dept. Store,Mail",Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,Put More Money Down
2005-06-11,R,0,1,55,192,12,1,0,0,0,1,0,1,W,3,1,0,0,0,2500,"Furniture,Carpet",Lease,German,Others,Without Vehicle,Cheque card,Put More Money Down
2005-09-26,H,0,2,62,288,33,2,0,0,0,1,0,1,V,1,1,1,0,0,1300,"Furniture,Carpet",Lease,German,Pensioner,Car,Cheque card,Put More Money Down
2006-03-18,H,0,1,55,144,21,1,0,0,1800,0,2500,2,G,1,1,1,0,0,600,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-02-01,H,1,3,51,30,3,2,2,1,0,1,0,1,V,3,1,0,6,1,600,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,Cheque card,Put More Money Down
2012-12-12,H,1,3,34,312,108,2,2,1,0,1,0,1,V,1,1,3,4,1,3000,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2012-03-04,H,3,5,38,66,54,2,2,1,3400,0,100000,4,V,3,1,0,2,1,3000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-11-27,H,0,2,59,18,66,2,2,1,1600,0,2500,2,V,1,1,1,2,1,1000,"Radio, TV, Hifi",Lease,German,Pensioner,Without Vehicle,no credit cards,Put More Money Down
2010-07-10,H,2,3,34,30,216,2,0,1,2800,0,100000,4,U,1,1,2,6,1,3000,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,Put More Money Down
2009-11-01,H,2,4,31,9,66,2,0,1,3200,0,100000,4,V,1,1,3,4,1,1200,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2012-04-01,R,0,1,63,144,999,2,2,1,2200,0,2500,2,G,3,1,0,4,1,4000,"Furniture,Carpet",Lease,German,Pensioner,Without Vehicle,no credit cards,Put More Money Down
2010-08-11,H,0,1,40,108,21,1,0,0,1900,0,2500,2,U,3,1,0,4,1,1300,"Radio, TV, Hifi",0,German,Others,Without Vehicle,no credit cards,Put More Money Down
2012-05-26,H,0,1,45,9,18,2,2,1,5000,0,100000,4,U,1,1,2,6,1,700,"Radio, TV, Hifi",Lease,Spanish/Portugue,Others,Car,no credit cards,Put More Money Down
2005-04-16,H,0,1,26,312,36,1,0,0,0,1,0,1,U,3,1,0,0,0,1000,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,Cheque card,Put More Money Down
2008-12-29,H,0,1,23,288,15,2,0,0,0,1,0,1,U,3,1,0,6,1,700,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2011-05-29,H,0,1,21,36,36,2,2,1,1000,0,2500,2,U,3,1,0,4,1,1100,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2012-10-01,H,0,1,24,3,72,2,2,1,2300,0,2500,2,U,1,1,1,4,1,1100,"Radio, TV, Hifi",0,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2006-11-28,H,0,2,22,240,84,2,0,1,2500,0,2500,2,V,1,1,0,6,1,3000,"Radio, TV, Hifi",Lease,Turkish,Others,Car,no credit cards,Put More Money Down
2006-01-18,H,0,1,32,42,15,1,0,1,2100,0,2500,2,U,1,1,1,0,0,500,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,Put More Money Down
2012-01-10,R,0,1,26,312,6,2,2,1,1700,0,2500,2,U,1,1,2,3,1,1100,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2012-01-06,H,0,1,26,9,72,2,2,1,2500,0,2500,2,U,1,1,1,5,1,500,"Radio, TV, Hifi",0,Italian,Others,Car,no credit cards,Put More Money Down
2005-01-24,H,1,3,30,54,168,2,0,0,0,1,0,1,V,3,1,0,0,0,2500,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2005-10-03,R,1,3,26,3,120,1,0,1,0,1,0,1,V,1,1,1,0,0,900,"Dept. Store,Mail",Lease,German,Chemical Industr,Car,Cheque card,Put More Money Down
2010-09-09,H,2,4,57,144,60,2,0,1,1800,0,2500,2,V,1,1,2,8,1,2500,"Dept. Store,Mail",Lease,Turkish,Pensioner,Without Vehicle,no credit cards,Put More Money Down
2011-08-01,H,0,1,21,264,66,2,2,0,2400,0,2500,2,U,1,1,2,3,1,1900,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2008-10-19,H,3,5,40,48,84,2,0,0,10000,1,100000,5,V,1,1,2,5,1,3000,"Radio, TV, Hifi",Owner,German,Others,Car,Cheque card,Put More Money Down
2005-03-13,H,2,4,43,144,9,2,0,0,0,1,0,1,V,3,1,0,0,0,800,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,Put More Money Down
2012-10-22,H,1,3,56,999,60,2,1,1,2400,0,2500,2,V,1,1,2,2,1,1300,"Radio, TV, Hifi",Owner,German,Others,Car,no credit cards,Put More Money Down
2008-07-18,H,0,1,37,24,6,2,0,1,0,1,0,1,U,1,1,1,6,1,900,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,Put More Money Down
2008-08-05,R,0,2,53,192,288,2,0,0,0,1,0,1,V,1,1,1,6,1,800,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2010-10-09,H,0,2,32,6,144,2,0,1,2800,0,100000,4,V,3,1,0,3,1,2500,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,no credit cards,Put More Money Down
2007-12-31,R,3,4,38,24,18,2,0,1,2400,0,2500,2,T,1,1,1,4,1,10000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2012-12-10,H,1,3,49,144,336,2,2,1,3000,0,100000,4,V,1,1,2,2,1,600,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-04-02,H,2,4,28,24,18,2,2,1,3300,1,100000,5,V,1,1,1,4,1,500,"Radio, TV, Hifi",0,German,Others,Car,Cheque card,Put More Money Down
2007-07-20,H,2,4,33,12,18,2,0,1,0,1,0,1,V,1,1,1,4,1,700,"Furniture,Carpet",0,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2011-02-19,H,3,5,45,168,288,2,2,1,4000,0,100000,4,V,1,1,5,3,1,1200,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2005-05-18,H,1,3,27,18,30,2,0,0,0,1,0,1,V,1,1,2,0,0,1400,Cars,Lease,German,Others,Car,Cheque card,Put More Money Down
2008-03-12,R,0,1,24,9,24,2,0,0,2300,0,2500,2,U,3,1,0,5,1,700,Leisure,Lease,German,Others,Car,no credit cards,Put More Money Down
2012-12-05,R,0,1,67,168,24,2,2,1,2800,0,100000,4,W,1,1,1,4,1,3000,"Furniture,Carpet",Lease,German,Pensioner,Without Vehicle,no credit cards,Put More Money Down
2010-09-14,H,0,1,26,15,15,2,0,0,2600,0,100000,4,U,3,1,0,7,1,6000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2009-11-26,R,0,1,25,12,45,2,0,0,1500,0,2500,2,U,1,1,1,4,1,1500,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2012-02-07,R,2,3,37,36,48,2,2,1,1500,0,2500,2,G,1,1,2,3,1,1200,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,Put More Money Down
2007-04-15,R,0,2,20,240,27,2,0,0,1600,0,2500,2,V,3,1,0,5,1,1400,"Radio, TV, Hifi",Lease,Turkish,Others,Without Vehicle,no credit cards,Put More Money Down
2009-09-19,R,0,1,25,15,54,2,0,0,2300,0,2500,2,U,3,1,0,9,1,1000,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,Put More Money Down
2012-01-09,H,2,4,35,84,96,2,2,1,4000,0,100000,4,V,1,1,2,3,1,1200,"Furniture,Carpet",Owner,German,Others,Car,no credit cards,Put More Money Down
2010-03-05,R,0,1,29,6,21,2,0,1,1600,0,2500,2,U,1,1,1,4,1,1100,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2012-07-02,H,2,4,42,9,45,2,2,0,3100,0,100000,4,V,1,1,1,7,1,3000,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-07-12,H,2,4,46,144,288,2,2,1,5000,0,100000,4,V,1,1,3,3,1,1900,"Radio, TV, Hifi",0,German,"Civil Service, M",Car,no credit cards,Put More Money Down
2011-08-11,H,1,3,25,144,6,2,2,1,2700,0,100000,4,V,1,1,1,5,1,3000,"Furniture,Carpet",Owner,Turkish,Others,Car,no credit cards,Put More Money Down
2012-10-11,H,1,3,31,66,54,2,2,1,2800,0,100000,4,V,3,1,0,9,1,500,"Radio, TV, Hifi",Lease,Turkish,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2005-10-22,H,2,4,37,15,33,2,0,0,3000,0,100000,4,V,3,1,0,0,0,700,"Radio, TV, Hifi",0,German,Others,Car,no credit cards,Put More Money Down
2006-10-29,H,1,3,39,42,288,2,0,0,2500,0,2500,2,V,3,1,0,0,0,4000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2012-09-02,H,0,1,37,0,6,2,2,1,0,1,0,1,U,1,1,2,4,1,4000,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,Put More Money Down
2010-01-02,R,0,2,26,120,60,2,0,1,1800,0,2500,2,V,1,1,2,4,1,1200,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2013-01-19,H,0,2,33,72,54,2,2,1,3300,0,100000,4,V,1,1,1,0,0,1200,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2013-03-02,H,1,3,31,30,39,2,2,1,3200,1,100000,5,V,1,1,6,6,1,600,"Radio, TV, Hifi",0,German,Others,Car,Cheque card,Put More Money Down
2012-03-28,H,0,2,63,36,9,2,2,1,1600,0,2500,2,V,1,1,2,5,1,1900,"Radio, TV, Hifi",Owner,German,Pensioner,Car,no credit cards,Put More Money Down
2007-03-05,H,0,1,20,30,6,2,0,0,1900,0,2500,2,U,3,1,0,2,1,1000,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-09-26,R,0,1,26,0,54,1,2,1,2000,0,2500,2,U,1,1,1,4,1,4000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-04-19,R,1,3,35,24,30,2,2,1,1500,0,2500,2,V,3,1,0,6,1,1400,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2010-08-01,H,0,1,46,120,999,1,0,0,1900,0,2500,2,U,3,1,0,4,1,2000,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2007-05-08,H,0,1,22,9,66,2,0,0,2600,0,100000,4,U,1,1,1,4,1,3000,"Radio, TV, Hifi",0,German,Others,Car,no credit cards,Put More Money Down
2009-05-09,H,0,2,28,3,12,2,0,0,0,0,0,0,V,1,1,0,4,1,1800,"Radio, TV, Hifi",Lease,German,Others,Car,Mastercard/Euroc,Put More Money Down
2010-03-22,H,2,4,32,15,144,2,0,1,3000,0,100000,4,V,1,1,2,8,1,500,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2006-03-15,R,2,4,35,144,12,2,0,0,0,1,0,1,V,3,1,0,0,0,800,"Furniture,Carpet",Lease,German,"Food,Building,Ca",Car,Cheque card,Put More Money Down
2011-12-09,H,2,4,28,42,39,2,2,1,2500,0,2500,2,V,3,1,0,4,1,600,Leisure,Lease,German,Others,Car,no credit cards,Put More Money Down
2006-01-06,H,1,3,37,96,9,1,0,0,1500,0,2500,2,V,3,1,0,0,0,500,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2008-07-24,H,2,4,29,42,15,2,0,0,2700,0,100000,4,V,1,1,2,0,0,1200,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2010-10-14,H,0,1,44,0,30,2,0,0,2900,0,100000,4,G,1,1,2,2,1,1000,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2008-08-08,H,2,3,33,144,3,2,0,0,2200,0,2500,2,U,1,1,1,4,1,3000,"Radio, TV, Hifi",Lease,German,"State,Steel Ind,",Car,no credit cards,Put More Money Down
2009-10-05,R,1,2,43,60,45,2,0,1,1900,0,2500,2,W,1,1,3,9,1,900,"Radio, TV, Hifi",Lease,German,"Sea Vojage, Gast",Car,no credit cards,Put More Money Down
2008-08-06,H,0,2,41,84,6,2,0,1,3000,0,100000,4,V,1,1,1,2,1,5000,Cars,Owner,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2006-03-29,H,0,1,23,288,3,1,0,0,0,1,0,1,U,3,1,0,0,0,600,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2007-11-19,H,0,2,56,48,36,2,0,0,1600,0,2500,2,V,1,1,0,5,1,1800,"Radio, TV, Hifi",Lease,German,Pensioner,Car,no credit cards,Put More Money Down
2005-02-12,H,1,3,36,96,6,2,0,0,2200,0,2500,2,V,3,1,0,0,0,2500,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2011-07-03,H,1,2,32,3,192,1,2,1,3100,0,100000,4,T,1,1,1,8,1,1400,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2005-04-18,R,3,4,39,120,33,1,2,0,2000,0,2500,2,G,1,1,0,0,0,1800,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2008-05-06,H,0,2,54,240,216,2,0,1,3500,0,100000,4,V,1,1,1,6,1,6000,"Radio, TV, Hifi",Owner,German,Others,Car,no credit cards,Put More Money Down
2012-12-06,H,0,1,23,144,48,2,2,0,2300,0,2500,2,U,1,1,1,3,1,500,"Radio, TV, Hifi",0,German,Others,Car,no credit cards,Put More Money Down
2011-10-09,R,0,1,53,42,144,2,2,1,0,1,0,1,G,1,1,2,2,1,1100,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2006-09-25,H,0,2,59,999,33,2,0,1,0,1,0,1,V,1,1,2,0,0,2000,"Radio, TV, Hifi",0,German,Pensioner,Car,Cheque card,Put More Money Down
2011-07-02,H,3,5,38,168,54,2,2,1,5000,0,100000,4,V,3,1,0,4,1,1000,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2008-07-19,R,1,3,29,12,24,2,0,0,1500,0,2500,2,V,3,1,0,4,1,1400,"Radio, TV, Hifi",0,German,"Civil Service, M",Car,no credit cards,Put More Money Down
2011-07-14,H,3,5,40,108,336,2,2,1,3000,0,100000,4,V,1,1,0,5,1,3000,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2009-10-23,H,2,4,30,3,6,2,0,1,2600,0,100000,4,V,3,1,0,8,1,1100,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2010-02-21,H,1,3,25,48,36,2,0,1,2200,0,2500,2,V,1,1,2,7,1,3000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2011-07-15,H,0,1,24,312,27,2,2,1,0,1,0,1,U,1,1,1,7,1,3000,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,Cheque card,Put More Money Down
2005-06-22,R,0,1,53,144,168,1,0,0,2100,0,2500,2,W,1,1,1,0,0,9000,"Furniture,Carpet",Owner,German,Others,Car,no credit cards,Put More Money Down
2005-02-25,H,0,2,31,48,24,2,0,1,1800,0,2500,2,V,1,1,0,0,0,1800,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2010-09-18,H,0,1,26,30,30,2,0,0,2300,0,2500,2,U,3,1,0,4,1,900,"Radio, TV, Hifi",Lease,Greek,Others,Without Vehicle,no credit cards,Put More Money Down
2007-05-10,H,0,1,22,264,39,2,0,0,1600,0,2500,2,U,1,1,3,4,1,1400,"Radio, TV, Hifi",0,German,Others,Car,no credit cards,Put More Money Down
2011-09-15,H,2,4,48,168,288,2,2,1,2800,0,100000,4,V,1,1,3,4,1,900,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2005-03-12,R,1,3,35,36,168,2,0,0,0,1,0,1,V,3,1,0,0,0,1300,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2010-09-02,H,2,4,32,18,66,2,0,1,5000,0,100000,4,V,3,1,0,8,1,900,Cars,Lease,German,Others,Car,no credit cards,Put More Money Down
2011-08-22,H,0,1,27,3,3,2,2,1,2200,0,2500,2,U,1,1,1,4,1,1000,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2012-05-02,H,0,1,27,3,15,2,2,1,2800,0,100000,4,U,1,1,2,4,1,2500,"Dept. Store,Mail",Lease,German,"State,Steel Ind,",Without Vehicle,no credit cards,Put More Money Down
2008-08-07,R,0,1,24,3,33,2,0,0,1500,0,2500,2,U,3,1,0,6,1,1900,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2006-10-25,R,1,2,48,216,60,1,0,0,2200,1,2500,3,G,3,1,0,0,0,1000,"Radio, TV, Hifi",0,German,Others,Car,Cheque card,Put More Money Down
2008-10-09,H,0,1,27,9,9,2,0,0,1600,0,2500,2,U,3,1,0,6,1,1700,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
