MACHINE_ID,REPAIR_DATE,DAILY_PRODUCTION,MONTHLY_PRODUCTION,PROD_TARGET,REASON,MONTHS_IN_OPERATION,NEGATIVE_RATING,DAYS_OUT_OF_SERVICE,MACHINE_AGE,SENSOR_INQUIRIES,NUM_SENSORS,SENSOR_RATIO,INDUSTRY,ACTION
364491,2007-01-22,8400,53841.0,64284.0,CarProd,15.0,0.0,3.0,206.3545644,0.0,36.0,26.05485371,Other,Turn Off Machine
849156,2005-03-17,4000,29562.0,37200.0,CarProd,6.0,0.0,0.0,92.13333333,1.0,26.0,,Other,Turn Off Machine
356318,2014-06-27,18300,68096.0,99051.0,CarProd,1.0,0.0,0.0,85.8431617,0.0,17.0,27.63351648,COMMERCIAL,Turn Off Machine
377400,2013-01-29,16200,34984.0,46382.0,CarProd,11.0,0.0,0.0,175.1443195,3.0,20.0,39.74092813,Other,Turn Off Machine
827330,2013-02-01,16300,22352.0,165315.0,TruckPr,9.0,0.0,0.0,304.3346951,0.0,27.0,27.56242667,INDUSTRIAL,Turn Off Machine
142721,2020-05-20,38600,145590.0,209950.0,TruckPr,4.0,0.0,0.0,149.8811289,0.0,31.0,35.58278883,GOVERNMENT,Turn Off Machine
941960,2008-09-13,10600,83217.0,101359.0,CarProd,1.0,0.0,0.0,54.74662201,2.0,24.0,40.76038718,COMMERCIAL,Turn Off Machine
435769,2019-09-21,31000,118000.0,167000.0,CarProd,17.0,0.0,0.0,127.0333333,1.0,17.0,,GOVERNMENT,Turn Off Machine
14021,2014-01-31,17700,60260.0,90196.0,TruckPr,11.0,0.0,1.0,177.8548455,0.0,14.0,29.60717111,GOVERNMENT,Turn Off Machine
532528,2015-07-21,20200,33000.0,62400.0,TruckPr,1.0,0.0,0.0,123.8,2.0,2.0,,Other,Turn Off Machine
692312,2008-05-06,10100,63283.0,82912.0,TruckPr,0.0,0.0,0.0,99.81625825,1.0,7.0,38.37053971,Other,Turn Off Machine
829453,2021-02-06,58900,40100.0,70672.0,CarProd,3.0,0.0,0.0,112.3195141,0.0,20.0,30.38843059,Other,Turn Off Machine
257168,2010-12-09,13500,28000.0,85999.0,CarProd,0.0,6.0,4.0,227.2666667,6.0,37.0,,Other,Turn Off Machine
456074,2018-07-12,26100,50605.0,77841.0,CarProd,21.0,,0.0,286.4482043,1.0,31.0,41.17380505,Other,Turn Off Machine
211841,2016-12-30,22800,129697.0,167475.0,CarProd,5.0,0.0,1.0,202.6038029,1.0,18.0,22.04393384,GOVERNMENT,Turn Off Machine
286636,2012-08-23,15700,83761.0,125860.0,TruckPr,1.0,0.0,0.0,,0.0,0.0,,Other,Turn Off Machine
51964,2010-03-15,12600,67860.0,103426.0,CarProd,9.0,0.0,0.0,202.1526339,0.0,20.0,18.34752939,Other,Turn Off Machine
845507,2015-01-26,19400,53000.0,82800.0,CarProd,18.0,0.0,0.0,206.9666667,1.0,22.0,,Other,Turn Off Machine
441121,2011-01-11,13600,67354.0,81255.0,CarProd,10.0,0.0,0.0,255.3787569,4.0,36.0,41.62539858,FLEET,Turn Off Machine
369506,2017-08-20,24200,104005.0,158224.0,CarProd,14.0,0.0,0.0,175.6220829,0.0,25.0,33.99242445,COMMERCIAL,Turn Off Machine
623683,2006-11-24,8100,13179.0,32981.0,,,,,,,,31.74224928,,Turn Off Machine
501960,2013-05-13,16700,62933.0,91790.0,CarProd,2.0,0.0,0.0,185.3724624,0.0,31.0,35.25727149,Other,Turn Off Machine
119101,2008-02-05,10000,86000.0,111000.0,CarProd,6.5,0.0,1.0,91.96666667,3.0,17.0,,Other,Turn Off Machine
38828,2013-01-09,16200,62258.0,92595.0,CarProd,2.0,0.0,0.0,177.8542195,0.0,25.0,22.21960047,FLEET,Turn Off Machine
279807,2006-08-28,7700,51045.0,91068.0,TruckPr,20.0,0.0,0.0,179.2409356,0.0,28.0,27.23109397,Other,Turn Off Machine
528824,2016-07-05,21900,94320.0,140698.0,CarProd,,0.0,0.0,208.2417578,0.0,20.0,29.18897974,GOVERNMENT,Turn Off Machine
883928,2009-08-01,11900,29822.0,48574.0,CarProd,13.0,0.0,0.0,132.4016914,0.0,4.0,36.61115697,FLEET,Turn Off Machine
18501,2018-11-19,27100,,31681.0,TruckPr,23.0,0.0,0.0,92.51403036,2.0,15.0,29.74190894,Other,Turn Off Machine
749486,2012-05-14,15300,59083.0,96073.0,CarProd,8.0,0.0,0.0,194.0054867,0.0,19.0,20.48797965,GOVERNMENT,Turn Off Machine
711231,2009-10-07,12000,42000.0,58000.0,CarProd,5.0,0.0,1.0,113.6333333,1.0,18.0,,Other,Turn Off Machine
822948,2006-09-15,7900,44690.0,45841.0,CarProd,10.0,0.0,0.0,185.6215923,0.0,22.0,32.28572409,FLEET,Turn Off Machine
175578,2005-01-22,2800,50795.0,63100.0,TruckPr,26.0,2.0,15.0,145.6333333,3.0,45.0,,INDUSTRIAL,Turn Off Machine
102519,2019-12-19,33000,153000.0,164000.0,CarProd,9.0,0.0,0.0,117.6666667,4.0,32.0,,FLEET,Turn Off Machine
941348,2013-12-09,17500,92986.0,114276.0,CarProd,13.0,0.0,0.0,116.9613578,2.0,8.0,36.25138573,Other,Turn Off Machine
905973,2007-11-17,9700,84933.0,122520.0,CarProd,10.0,0.0,0.0,141.433076,1.0,23.0,36.79501396,FLEET,Turn Off Machine
122256,2012-11-29,16000,,33382.0,CarProd,13.0,,,84.93118132,1.0,9.0,33.72078338,Other,Turn Off Machine
68228,2011-06-28,14300,31607.0,70118.0,CarProd,6.0,0.0,0.0,255.7195673,0.0,15.0,23.0629138,GOVERNMENT,Turn Off Machine
546760,2020-10-28,47500,,76836.0,TruckPr,11.0,0.0,0.0,290.6493233,0.0,13.0,34.1468927,FLEET,Turn Off Machine
317254,2012-07-06,15500,38900.0,60500.0,CarProd,8.0,7.0,4.0,95.9,2.0,53.0,,Other,Turn Off Machine
490623,2013-12-22,17500,68000.0,133015.0,CarProd,19.0,1.0,1.0,177.5,5.0,21.0,,FLEET,Turn Off Machine
924476,2006-01-16,6400,51436.0,91284.0,CarProd,4.0,0.0,0.0,209.6428984,2.0,30.0,31.97197121,,Turn Off Machine
234372,2018-12-25,27400,23939.0,56874.0,CarProd,3.0,0.0,1.0,197.8,0.0,11.0,,FLEET,Turn Off Machine
491642,2016-10-21,22500,,143254.0,,,,,,,,,,Turn Off Machine
72511,2010-12-23,13600,,71904.0,,0.0,0.0,0.0,,0.0,0.0,3.265083387,,Turn Off Machine
25200,2010-12-21,13600,115816.0,212995.0,TruckPr,1.0,0.0,0.0,114.8430305,1.0,14.0,26.3251112,GOVERNMENT,Turn Off Machine
232483,2011-11-07,14900,58204.0,71257.0,CarProd,3.0,3.0,2.0,206.5187349,1.0,50.0,43.76293027,FLEET,Turn Off Machine
135390,2012-02-23,15000,84832.0,107207.0,TruckPr,19.0,0.0,0.0,124.4505323,4.0,23.0,28.55818348,Other,Turn Off Machine
416444,2013-11-30,17400,49765.0,66782.0,CarProd,27.0,0.0,0.0,272.5904825,1.0,16.0,39.3830645,COMMERCIAL,Turn Off Machine
11031,2009-06-04,11700,59932.0,80313.0,TruckPr,14.0,0.0,0.0,238.4864616,0.0,32.0,44.4749177,FLEET,Turn Off Machine
334203,2008-05-11,10200,44000.0,57000.0,CarProd,0.0,1.0,0.0,191.7333333,2.0,13.0,,Other,Turn Off Machine
808520,2020-07-12,40700,11541.0,64714.0,TruckPr,,1.0,0.0,298.6485317,0.0,19.0,16.5302805,FLEET,Turn Off Machine
141286,2015-11-26,20900,59228.0,92224.0,CarProd,1.0,0.0,0.0,157.0711836,1.0,21.0,37.67720937,FLEET,Turn Off Machine
292678,2013-11-14,17400,,48971.0,CarProd,,,,345.0099186,,17.0,32.47431947,Other,Turn Off Machine
75681,2006-12-08,8200,,49362.0,,,,,,,,11.76969215,,Turn Off Machine
363071,2009-10-24,12100,96439.0,126328.0,TruckPr,3.0,0.0,3.0,156.3191309,0.0,26.0,39.27931325,COMMERCIAL,Turn Off Machine
762409,2018-02-23,25100,108235.0,201918.0,CarProd,24.0,0.0,0.0,199.4864637,0.0,19.0,23.65233981,Other,Turn Off Machine
390904,2016-12-26,22800,,57761.0,CarProd,,0.0,0.0,310.4829388,0.0,18.0,38.50570506,Other,Turn Off Machine
566021,2018-07-31,26300,52394.0,93307.0,CarProd,24.0,0.0,1.0,184.6560958,0.0,19.0,23.54869835,Other,Turn Off Machine
73527,2014-04-06,18000,7051.0,66200.0,CarProd,,0.0,0.0,250.5666667,0.0,22.0,,FLEET,Turn Off Machine
145552,2020-07-18,40900,217000.0,290000.0,CarProd,30.0,1.0,0.0,230.2666667,2.0,25.0,,GOVERNMENT,Turn Off Machine
941439,2013-01-25,16200,86021.0,113030.0,CarProd,20.0,0.0,0.0,284.1597667,0.0,17.0,26.65016531,Other,Turn Off Machine
760365,2008-03-01,10000,22068.0,49600.0,TruckPr,0.9,0.0,0.0,247.5666667,0.0,11.0,,Other,Turn Off Machine
881630,2007-05-10,8800,2800.0,18361.0,TruckPr,2.0,3.0,1.0,107.7666667,4.0,3.0,,Other,Turn Off Machine
500291,2008-04-25,10100,47426.0,68820.0,CarProd,16.0,0.0,4.0,220.7609123,0.0,36.0,24.01951269,Other,Turn Off Machine
913179,2006-01-12,6400,62746.0,75016.0,CarProd,12.0,0.0,0.0,133.1015478,0.0,20.0,40.18812313,GOVERNMENT,Turn Off Machine
974026,2019-10-03,31300,33658.0,76624.0,CarProd,,,,286.6962892,0.0,15.0,40.3573739,Other,Turn Off Machine
715116,2011-01-26,13700,70018.0,89803.0,TruckPr,24.0,0.0,0.0,154.7521209,1.0,13.0,39.38990883,FLEET,Turn Off Machine
153399,2013-05-01,16600,55912.0,81552.0,CarProd,6.0,,,106.5129317,0.0,7.0,36.76375267,Other,Turn Off Machine
947773,2015-02-10,19500,50000.0,89100.0,,7.0,2.0,1.0,86.23333333,4.0,25.0,,GOVERNMENT,Turn Off Machine
250583,2010-07-08,13000,72931.0,96803.0,CarProd,6.0,0.0,0.0,208.6728918,2.0,18.0,41.05223501,Other,Turn Off Machine
480893,2012-06-03,15400,63456.0,96794.0,CarProd,3.0,0.0,0.0,85.52936247,0.0,28.0,37.362645,GOVERNMENT,Turn Off Machine
879815,2020-07-03,40400,63131.0,109395.0,CarProd,14.0,0.0,0.0,198.4484187,0.0,21.0,39.55593621,COMMERCIAL,Turn Off Machine
138060,2009-12-23,12300,77000.0,94000.0,CarProd,41.0,,4.0,212.8666667,4.0,17.0,,COMMERCIAL,Turn Off Machine
638952,2013-03-15,16400,86422.0,116097.0,,,,,,,,35.59895076,,Turn Off Machine
794466,2019-03-28,28200,58232.0,97555.0,CarProd,17.0,0.0,1.0,130.4507649,0.0,29.0,38.0927303,Other,Turn Off Machine
331850,2008-12-11,11000,48538.0,63805.0,CarProd,9.0,0.0,0.0,88.60602346,0.0,22.0,38.0261511,Other,Turn Off Machine
252621,2018-03-16,25300,122933.0,157009.0,CarProd,3.0,0.0,0.0,280.5738445,0.0,24.0,38.74080142,COMMERCIAL,Turn Off Machine
241196,2011-07-04,14400,77366.0,130330.0,CarProd,14.0,0.0,1.0,285.200062,1.0,18.0,28.1716511,GOVERNMENT,Turn Off Machine
876889,2015-01-17,19300,51580.0,83518.0,CarProd,13.0,0.0,0.0,89.525932,0.0,9.0,7.148413213,Other,Turn Off Machine
868620,2008-10-20,10800,49254.0,80527.0,TruckPr,2.0,0.0,2.0,202.5374304,0.0,13.0,29.55158314,Other,Turn Off Machine
761922,2005-04-23,4500,45500.0,50000.0,TruckPr,6.0,0.0,0.0,86.16666667,0.0,18.0,,Other,Turn Off Machine
192671,2007-07-29,9100,59430.0,76897.0,TruckPr,5.0,0.0,1.0,246.0951091,1.0,16.0,37.47092338,Other,Turn Off Machine
18388,2015-11-08,20800,107379.0,147014.0,TruckPr,10.0,0.0,0.0,161.5374824,1.0,22.0,31.92532942,GOVERNMENT,Turn Off Machine
27859,2019-08-27,30500,138082.0,181157.0,CarProd,2.0,1.0,0.0,219.2473072,1.0,19.0,40.87469852,GOVERNMENT,Turn Off Machine
734012,2020-09-09,43200,120310.0,178938.0,CarProd,10.0,0.0,0.0,196.2815792,0.0,5.0,40.16548813,INDUSTRIAL,Turn Off Machine
403366,2020-12-09,50300,,88313.0,TruckPr,,0.0,0.0,344.4097766,0.0,7.0,22.16959631,Other,Turn Off Machine
36221,2011-06-01,14200,71979.0,86443.0,CarProd,2.0,0.0,0.0,238.2643462,3.0,25.0,32.13676623,Other,Turn Off Machine
974120,2016-04-26,21600,59219.0,98111.0,TruckPr,18.0,0.0,0.0,626.7713928,1.0,23.0,21.24168423,GOVERNMENT,Turn Off Machine
348942,2010-07-05,13000,,28981.0,TruckPr,28.0,0.0,0.0,203.902855,0.0,4.0,25.7409307,,Turn Off Machine
828090,2007-11-14,9700,98232.0,117321.0,CarProd,19.0,0.0,2.0,194.4247179,2.0,15.0,36.95089224,Other,Turn Off Machine
975823,2009-03-15,11300,40752.0,53683.0,TruckPr,22.0,0.0,1.0,129.7580621,0.0,23.0,38.42588111,Other,Turn Off Machine
302542,2009-03-19,11300,66814.0,82021.0,CarProd,4.0,2.0,3.0,173.7118385,3.0,29.0,38.55692945,FLEET,Turn Off Machine
918691,2013-06-15,16800,87300.0,155500.0,CarProd,3.0,0.0,0.0,1154.633333,0.0,0.0,,Other,Turn Off Machine
290836,2006-04-03,6900,51384.0,84689.0,CarProd,4.0,0.0,0.0,224.2470369,3.0,29.0,30.52615072,,Turn Off Machine
23196,2011-11-30,15000,83000.0,114000.0,CarProd,18.0,0.0,0.0,207.2333333,0.0,27.0,,GOVERNMENT,Turn Off Machine
193587,2018-03-06,25200,55823.0,90658.0,CarProd,0.0,0.0,0.0,85.31414308,0.0,22.0,35.57129493,FLEET,Turn Off Machine
719622,2005-06-03,5000,6000.0,38575.0,TruckPr,7.0,0.0,1.0,335.0333333,3.0,42.0,,INDUSTRIAL,Turn Off Machine
63735,2009-11-18,12100,48149.0,74539.0,CarProd,17.0,0.0,0.0,200.0325616,0.0,15.0,23.13097189,GOVERNMENT,Turn Off Machine
223202,2013-08-15,17000,152900.0,191146.0,CarProd,7.5,0.0,0.0,,2.0,16.0,,Other,Turn Off Machine
951700,2018-07-19,26200,72648.0,123582.0,CarProd,0.0,1.0,0.0,331.3528857,0.0,23.0,37.54583738,FLEET,Turn Off Machine
76148,2018-06-16,25900,61064.0,94714.0,CarProd,2.0,0.0,0.0,98.80937484,0.0,23.0,34.56594425,FLEET,Turn Off Machine
628256,2011-06-09,14300,52260.0,73000.0,CarProd,0.6,1.0,3.0,62.9,0.0,17.0,,COMMERCIAL,Turn Off Machine
68620,2007-08-13,9300,73252.0,100537.0,CarProd,2.0,0.0,0.0,99.77452712,0.0,26.0,34.51463507,GOVERNMENT,Turn Off Machine
462750,2018-09-27,26700,,120179.0,CarProd,8.0,0.0,0.0,162.12582,0.0,27.0,35.09551993,COMMERCIAL,Turn Off Machine
69536,2010-04-10,12700,77068.0,98436.0,TruckPr,7.0,0.0,1.0,148.2880996,0.0,34.0,33.46369747,GOVERNMENT,Turn Off Machine
546851,2019-11-13,32200,16232.0,60238.0,CarProd,0.0,0.0,0.0,116.7297455,1.0,5.0,37.99908153,Other,Turn Off Machine
616986,2018-09-23,26700,146193.0,185200.0,CarProd,11.0,0.0,0.0,156.2294564,0.0,36.0,39.21027209,GOVERNMENT,Turn Off Machine
298815,2011-09-13,14700,77565.0,101320.0,TruckPr,6.0,0.0,0.0,120.8273719,0.0,26.0,25.27620451,GOVERNMENT,Turn Off Machine
259678,2009-10-02,12000,58730.0,80000.0,CarProd,10.0,,4.0,123.1,3.0,25.0,,FLEET,Turn Off Machine
181775,2014-07-24,18500,,94125.0,,,1.0,0.0,178.6456365,0.0,11.0,30.93141022,Other,Turn Off Machine
276807,2012-12-09,16000,57944.0,89778.0,TruckPr,2.0,0.0,0.0,135.6060779,0.0,12.0,25.72579366,GOVERNMENT,Turn Off Machine
431893,2010-08-25,13100,,,TruckPr,0.75,,,,,,,GOVERNMENT,Turn Off Machine
748525,2008-04-08,10000,127319.0,194992.0,TruckPr,1.0,0.0,1.0,337.6899717,0.0,16.0,41.44750595,FLEET,Turn Off Machine
921006,2009-08-27,12000,35721.0,52938.0,TruckPr,23.0,0.0,1.0,125.928071,0.0,22.0,38.62702499,Other,Turn Off Machine
363614,2017-05-20,23600,140284.0,182591.0,CarProd,21.0,0.0,0.0,224.9413467,0.0,24.0,41.8717558,GOVERNMENT,Turn Off Machine
915116,2013-08-04,17000,63450.0,92816.0,,10.0,0.0,0.0,,1.0,16.0,25.71867108,GOVERNMENT,Turn Off Machine
501032,2007-03-21,8600,36933.0,42289.0,CarProd,4.0,0.0,0.0,100.6164211,2.0,26.0,38.43649009,COMMERCIAL,Turn Off Machine
313564,2020-10-08,45000,87000.0,151000.0,CarProd,16.0,0.0,0.0,223.2,8.0,19.0,,Other,Turn Off Machine
564575,2005-09-25,5700,80437.0,109647.0,TruckPr,9.5,0.0,0.0,104.4,0.0,14.0,,GOVERNMENT,Turn Off Machine
912836,2010-07-15,13000,,72175.0,TruckPr,,0.0,0.0,367.9400249,0.0,6.0,36.56113974,Other,Turn Off Machine
93497,2006-08-13,7600,,28593.0,TruckPr,20.0,0.0,0.0,180.1689373,0.0,16.0,35.58340317,FLEET,Turn Off Machine
647439,2009-08-31,12000,74427.0,96270.0,CarProd,18.0,0.0,1.0,169.7333333,2.0,40.0,,Other,Turn Off Machine
29281,2008-12-15,11000,45000.0,63775.0,CarProd,14.0,0.0,0.0,173.1666667,0.0,18.0,,Other,Turn Off Machine
866226,2020-11-14,49900,45455.0,102971.0,TruckPr,9.0,0.0,0.0,197.9633093,2.0,36.0,42.06427923,INDUSTRIAL,Turn Off Machine
242053,2005-05-28,5000,34200.0,50830.0,TruckPr,6.0,0.0,0.0,57.0,1.0,9.0,,Other,Turn Off Machine
885192,2012-04-11,15200,43961.0,62171.0,CarProd,,0.0,0.0,124.8068459,1.0,18.0,39.58005434,Other,Turn Off Machine
594252,2007-02-24,8500,30077.0,42770.0,CarProd,0.25,0.0,0.0,89.26666667,0.0,10.0,,FLEET,Turn Off Machine
189508,2009-05-05,11500,59781.0,69864.0,CarProd,4.0,0.0,1.0,312.547396,0.0,9.0,31.18180135,Other,Turn Off Machine
438427,2017-02-06,23000,163805.0,216500.0,TruckPr,3.5,,,,,,,INDUSTRIAL,Turn Off Machine
517888,2017-11-20,25000,74800.0,105000.0,CarProd,10.0,0.0,5.0,163.3,2.0,46.0,,COMMERCIAL,Turn Off Machine
536672,2019-05-01,28400,206126.0,238745.0,TruckPr,9.0,0.0,0.0,119.0697634,1.0,42.0,41.67018774,Other,Turn Off Machine
92333,2019-06-26,29300,68024.0,115954.0,TruckPr,6.0,,,109.9150205,11.0,21.0,44.36917076,Other,Turn Off Machine
310297,2008-01-02,9900,72674.0,89909.0,CarProd,15.0,0.0,1.0,90.95789952,0.0,8.0,27.35463407,FLEET,Turn Off Machine
190600,2005-07-17,5100,74071.0,97064.0,CarProd,0.0,0.0,0.0,121.0759726,2.0,9.0,36.40172955,Other,Turn Off Machine
288491,2011-07-14,14400,75360.0,105737.0,TruckPr,8.0,0.0,0.0,121.298029,1.0,27.0,24.76189959,GOVERNMENT,Turn Off Machine
319854,2016-10-25,22500,60700.0,91000.0,CarProd,13.0,0.0,0.0,145.0666667,6.0,29.0,,INDUSTRIAL,Turn Off Machine
334058,2011-05-23,14200,102512.0,128657.0,TruckPr,8.0,0.0,0.0,178.3390263,3.0,32.0,27.54114088,GOVERNMENT,Turn Off Machine
627469,2007-05-02,8700,58060.0,65605.0,CarProd,23.0,0.0,0.0,259.6838134,3.0,29.0,39.82999947,Other,Turn Off Machine
557981,2020-02-26,35000,197906.0,265000.0,CarProd,4.0,0.0,0.0,246.5666667,0.0,32.0,,GOVERNMENT,Turn Off Machine
504345,2014-07-04,18400,65519.0,89276.0,CarProd,0.0,1.0,2.0,123.098552,2.0,26.0,36.35420324,Other,Turn Off Machine
492106,2011-06-04,14200,100664.0,129166.0,CarProd,4.0,,,255.6876484,2.0,41.0,38.74675979,COMMERCIAL,Turn Off Machine
698202,2010-01-25,12400,34055.0,40739.0,CarProd,9.0,,0.0,147.012827,6.0,29.0,39.93094736,Other,Turn Off Machine
950275,2019-08-30,30500,18375.0,61738.0,CarProd,20.0,3.0,5.0,141.7031333,0.0,28.0,45.3547887,COMMERCIAL,Turn Off Machine
